,# edges,jsd
0,100,0.15901333093643188
1,200,0.15626630187034607
2,300,0.15825001895427704
3,400,0.16872131824493408
4,500,0.17274394631385803
5,100,0.16168925166130066
6,200,0.16391701996326447
7,300,0.15713171660900116
8,400,0.15769131481647491
9,500,0.1526133120059967
10,100,0.16693873703479767
11,200,0.1624288409948349
12,300,0.15963196754455566
13,400,0.1529676765203476
14,500,0.15384408831596375
15,100,0.16868720948696136
16,200,0.15295980870723724
17,300,0.16957159340381622
18,400,0.1571969985961914
19,500,0.16605211794376373
20,100,0.16394829750061035
21,200,0.16541671752929688
22,300,0.14955326914787292
23,400,0.1538434624671936
24,500,0.15336120128631592
25,100,0.1613171100616455
26,200,0.15678714215755463
27,300,0.156148299574852
28,400,0.15744656324386597
29,500,0.14883127808570862
30,100,0.1669003665447235
31,200,0.16035611927509308
32,300,0.1619158387184143
33,400,0.16338394582271576
34,500,0.15595991909503937
35,100,0.15965710580348969
36,200,0.16003502905368805
37,300,0.15704481303691864
38,400,0.15642596781253815
39,500,0.16338706016540527
40,100,0.15420474112033844
41,200,0.15603171288967133
42,300,0.15659838914871216
43,400,0.15965473651885986
44,500,0.1531999707221985
45,100,0.15932276844978333
46,200,0.1557898074388504
47,300,0.16245688498020172
48,400,0.15827859938144684
49,500,0.1556854546070099
50,100,0.15346848964691162
51,200,0.16583098471164703
52,300,0.1630595177412033
53,400,0.16707004606723785
54,500,0.15857096016407013
55,100,0.16698592901229858
56,200,0.15841814875602722
57,300,0.15792061388492584
58,400,0.15286703407764435
59,500,0.15161162614822388
60,100,0.1637216955423355
61,200,0.1607600897550583
62,300,0.15751489996910095
63,400,0.15532714128494263
64,500,0.15610134601593018
65,100,0.16358502209186554
66,200,0.16238422691822052
67,300,0.15985263884067535
68,400,0.1576974242925644
69,500,0.14967112243175507
70,100,0.16646772623062134
71,200,0.1614125669002533
72,300,0.1615072339773178
73,400,0.15914331376552582
74,500,0.15709762275218964
75,100,0.167191743850708
76,200,0.16010229289531708
77,300,0.16045323014259338
78,400,0.1573740690946579
79,500,0.14515915513038635
80,100,0.16119523346424103
81,200,0.16413338482379913
82,300,0.15450266003608704
83,400,0.15084101259708405
84,500,0.1430412381887436
85,100,0.16875530779361725
86,200,0.15420067310333252
87,300,0.16070890426635742
88,400,0.15514875948429108
89,500,0.16017889976501465
90,100,0.16491232812404633
91,200,0.15921221673488617
92,300,0.15751811861991882
93,400,0.16711680591106415
94,500,0.15515552461147308
95,100,0.1538812518119812
96,200,0.16229937970638275
97,300,0.15565422177314758
98,400,0.15517260134220123
99,500,0.14809568226337433
100,100,0.161007821559906
101,200,0.15689238905906677
102,300,0.1658814549446106
103,400,0.14589866995811462
104,500,0.14646199345588684
105,100,0.15667560696601868
106,200,0.14841695129871368
107,300,0.15736019611358643
108,400,0.15530520677566528
109,500,0.15740180015563965
110,100,0.16363997757434845
111,200,0.16216285526752472
112,300,0.18073201179504395
113,400,0.15795378386974335
114,500,0.1627356857061386
115,100,0.16309645771980286
116,200,0.1598389744758606
117,300,0.1683877408504486
118,400,0.15770529210567474
119,500,0.16010931134223938
120,100,0.15841419994831085
121,200,0.16351854801177979
122,300,0.16428959369659424
123,400,0.16456414759159088
124,500,0.16639412939548492
125,100,0.16093726456165314
126,200,0.15923109650611877
127,300,0.15873664617538452
128,400,0.1606292426586151
129,500,0.1613851934671402
130,100,0.15982741117477417
131,200,0.17261752486228943
132,300,0.16078853607177734
133,400,0.1606997698545456
134,500,0.15526969730854034
135,100,0.17230184376239777
136,200,0.16176436841487885
137,300,0.16143234074115753
138,400,0.16405551135540009
139,500,0.1529538333415985
140,100,0.1710144281387329
141,200,0.16454070806503296
142,300,0.16022969782352448
143,400,0.16117054224014282
144,500,0.16292732954025269
145,100,0.16472811996936798
146,200,0.15266752243041992
147,300,0.16635341942310333
148,400,0.15892983973026276
149,500,0.16117091476917267
150,100,0.16414180397987366
151,200,0.15471422672271729
152,300,0.16346758604049683
153,400,0.16389410197734833
154,500,0.1550157219171524
155,100,0.17147094011306763
156,200,0.1590474396944046
157,300,0.15640783309936523
158,400,0.1582891345024109
159,500,0.15815748274326324
160,100,0.16263209283351898
161,200,0.1615040898323059
162,300,0.15199843049049377
163,400,0.1556892842054367
164,500,0.15184152126312256
165,100,0.16086223721504211
166,200,0.16206859052181244
167,300,0.154823899269104
168,400,0.1499931514263153
169,500,0.1539134830236435
170,100,0.16735857725143433
171,200,0.16186118125915527
172,300,0.15818701684474945
173,400,0.1537693440914154
174,500,0.16159585118293762
175,100,0.1744411587715149
176,200,0.15875986218452454
177,300,0.15818774700164795
178,400,0.15650011599063873
179,500,0.15841732919216156
180,100,0.16613157093524933
181,200,0.16945752501487732
182,300,0.1571238487958908
183,400,0.15190745890140533
184,500,0.1520383656024933
185,100,0.16278383135795593
186,200,0.16022901237010956
187,300,0.16320128738880157
188,400,0.15902936458587646
189,500,0.14780862629413605
190,100,0.1654321402311325
191,200,0.16979461908340454
192,300,0.16163067519664764
193,400,0.14783063530921936
194,500,0.15476901829242706
195,100,0.1649157702922821
196,200,0.1649157702922821
197,300,0.1660889834165573
198,400,0.16520287096500397
199,500,0.15623416006565094
