,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.5100671140939598,7.64401650428772,0.3377777777777778,20,0.5167785234899329,3.989434242248535,0.48855835240274603,16
400,0.5134228187919463,7.577157020568848,0.3392461197339246,20,0.49328859060402686,4.905035972595215,0.42146337700407566,20
600,0.5134228187919463,6.5522987842559814,0.3392461197339246,20,0.49328859060402686,5.068055868148804,0.49163418629610794,20
800,0.5100671140939598,7.00898289680481,0.3438103281853282,20,0.4899328859060403,4.867868423461914,0.4897260273972603,20
1000,0.5134228187919463,7.203577280044556,0.3392461197339246,20,0.5033557046979866,4.864530324935913,0.4864940387481371,20
1200,0.5067114093959731,7.426940441131592,0.3363028953229399,20,0.5067114093959731,4.8898022174835205,0.38855156819228676,20
1400,0.5100671140939598,6.8712382316589355,0.3377777777777778,20,0.5,4.953070640563965,0.49217132727168755,20
1600,0.5134228187919463,7.274240732192993,0.3392461197339246,20,0.4899328859060403,4.84266209602356,0.3831236040747399,20
1800,0.5134228187919463,7.354052305221558,0.3392461197339246,20,0.4865771812080537,4.8661253452301025,0.35400048172969295,20
2000,0.5134228187919463,6.9309587478637695,0.3392461197339246,20,0.4966442953020134,4.9488091468811035,0.4782182378484382,20
