,# Layer,Setting,Accuracy
167,4,NF-ours,0.8062730627306273
168,1,RI-original,0.8468634686346863
169,1,RI-retrain,0.8284132841328413
170,1,RI-ours,0.8413284132841329
171,1,NF-original,0.8394833948339483
172,1,NF-retrain,0.8118081180811808
173,1,NF-ours,0.8376383763837638
174,2,RI-original,0.8339483394833949
175,2,RI-retrain,0.8357933579335793
176,2,RI-ours,0.8487084870848709
177,2,NF-original,0.8671586715867159
178,2,NF-retrain,0.8099630996309963
179,2,NF-ours,0.8523985239852399
180,3,RI-original,0.8394833948339483
181,3,RI-retrain,0.8154981549815498
182,3,RI-ours,0.8228782287822878
183,3,NF-original,0.8745387453874539
184,3,NF-retrain,0.8265682656826568
185,3,NF-ours,0.8671586715867159
186,4,RI-original,0.8597785977859779
187,4,RI-retrain,0.8394833948339483
188,4,RI-ours,0.8450184501845018
189,4,NF-original,0.8800738007380073
190,4,NF-retrain,0.8284132841328413
191,4,NF-ours,0.8118081180811808
192,1,RI-original,0.8302583025830258
193,1,RI-retrain,0.8044280442804428
194,1,RI-ours,0.8247232472324724
195,1,NF-original,0.8413284132841329
196,1,NF-retrain,0.8228782287822878
197,1,NF-ours,0.8487084870848709
198,2,RI-original,0.8671586715867159
199,2,RI-retrain,0.8321033210332104
200,2,RI-ours,0.8653136531365314
201,2,NF-original,0.8745387453874539
202,2,NF-retrain,0.8413284132841329
203,2,NF-ours,0.8690036900369004
204,3,RI-original,0.8708487084870848
205,3,RI-retrain,0.8302583025830258
206,3,RI-ours,0.8523985239852399
207,3,NF-original,0.8671586715867159
208,3,NF-retrain,0.8302583025830258
209,3,NF-ours,0.8616236162361623
210,4,RI-original,0.8523985239852399
211,4,RI-retrain,0.7011070110701108
212,4,RI-ours,0.8284132841328413
213,4,NF-original,0.8892988929889298
214,4,NF-retrain,0.8468634686346863
215,4,NF-ours,0.8597785977859779
216,1,RI-original,0.8542435424354243
217,1,RI-retrain,0.8321033210332104
218,1,RI-ours,0.8302583025830258
219,1,NF-original,0.8542435424354243
220,1,NF-retrain,0.8321033210332104
221,1,NF-ours,0.8339483394833949
222,2,RI-original,0.8560885608856088
223,2,RI-retrain,0.8357933579335793
224,2,RI-ours,0.8431734317343174
225,2,NF-original,0.8653136531365314
226,2,NF-retrain,0.8376383763837638
227,2,NF-ours,0.8708487084870848
228,3,RI-original,0.8154981549815498
229,3,RI-retrain,0.8450184501845018
230,3,RI-ours,0.8025830258302583
231,3,NF-original,0.8708487084870848
232,3,NF-retrain,0.8394833948339483
233,3,NF-ours,0.8560885608856088
234,4,RI-original,0.8081180811808119
235,4,RI-retrain,0.8376383763837638
236,4,RI-ours,0.8007380073800738
237,4,NF-original,0.8856088560885609
238,4,NF-retrain,0.8542435424354243
239,4,NF-ours,0.8542435424354243
