,# edges,type,Difference
0,1,Benign,0.0036900369003690647
1,100,Benign,0.01291512915129156
2,200,Benign,0.009225092250922495
3,300,Benign,0.011070110701107083
4,400,Benign,0.009225092250922495
5,500,Benign,0.027675276752767597
6,1,Adversarial,0.0
7,100,Adversarial,0.0036900369003690647
8,200,Adversarial,0.005535055350553542
9,300,Adversarial,0.01845018450184499
10,400,Adversarial,0.029520295202952074
11,500,Adversarial,0.027675276752767597
