,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.8284132841328413,17.996034383773804,0.8029213491927419,0.8118081180811808,1.0931751728057861,0.7854736501009633,0.6808118081180812,357.4342722892761,0.6412209130096714,8,0.46494464944649444,461.2988820075989,0.4227178520148988,20
400,0.8284132841328413,12.01336932182312,0.8043040869869245,0.8025830258302583,1.2727138996124268,0.7737237112606558,0.6365313653136532,604.842563867569,0.620775232520687,13,0.46494464944649444,483.15682768821716,0.42179320432921724,20
600,0.8191881918819188,13.571130752563477,0.798362468054285,0.7896678966789668,1.6860949993133545,0.7647722009111216,0.5885608856088561,908.0124413967133,0.5688913940335836,20,0.466789667896679,459.58657360076904,0.4230091724160149,20
800,0.8210332103321033,13.419977903366089,0.8012837950896109,0.7785977859778598,1.6683754920959473,0.7520985686632583,0.5885608856088561,922.8296601772308,0.5665865975676646,20,0.466789667896679,487.6740834712982,0.4254967094422746,20
1000,0.8154981549815498,14.88038420677185,0.7936685924498091,0.7767527675276753,1.4418566226959229,0.7549543674894699,0.5904059040590406,960.6647381782532,0.5722209956851084,20,0.466789667896679,478.33642959594727,0.4260493360064618,20
1200,0.8099630996309963,12.285233974456787,0.7864596413153484,0.7730627306273062,0.9167296886444092,0.7523375345201442,0.5867158671586716,908.8934640884399,0.5635794459137298,20,0.46494464944649444,476.7219376564026,0.42524702316160623,20
1400,0.8081180811808119,15.235247135162354,0.7864300190698745,0.7712177121771218,1.7512457370758057,0.7448393166417079,0.5904059040590406,925.9984517097473,0.5711365214723554,20,0.4612546125461255,463.41777181625366,0.42090037862749513,20
1600,0.8044280442804428,13.450289726257324,0.7873107684235657,0.7693726937269373,1.2254648208618164,0.7454542809864039,0.5885608856088561,854.7618997097015,0.5694799175254803,20,0.46494464944649444,341.6294026374817,0.42591998693017236,20
1800,0.8007380073800738,12.936052799224854,0.7838626241443444,0.7619926199261993,1.284916639328003,0.7455174834699815,0.5904059040590406,717.9251008033752,0.5711066468885937,20,0.46309963099630996,343.29248547554016,0.42252708231984093,20
2000,0.7988929889298892,17.529417991638184,0.7830198311627511,0.7564575645756457,1.2535135746002197,0.741420941343556,0.5904059040590406,694.7973222732544,0.5716927149301719,20,0.45940959409594095,328.8875935077667,0.4210748405793656,20
