,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.6756756756756757,0.6786786786786787,14.727396011352539,0.43079137802124023,0.6450448469901608,0.6466293058583301
400,0.6981981981981982,0.6756756756756757,4.047392845153809,1.5189852714538574,0.6608527207884786,0.6413589191305463
600,0.7072072072072072,0.6756756756756757,7.435910940170288,0.40749311447143555,0.6698405148275618,0.6419318430974871
800,0.6741741741741741,0.6726726726726727,12.033674716949463,1.2346701622009277,0.6242777316636026,0.6393067230896331
1000,0.6951951951951952,0.6621621621621622,2.634368658065796,1.2937445640563965,0.6585626027857109,0.6277057329606955
1200,0.6801801801801802,0.6636636636636637,9.050330638885498,0.6904962062835693,0.6422105069923438,0.6297350546491718
1400,0.6711711711711712,0.6576576576576577,5.888560771942139,0.6914577484130859,0.6396578793272231,0.6257448873654011
1600,0.6741741741741741,0.6471471471471472,3.3755972385406494,1.8013370037078857,0.6369940032936664,0.615712932379599
1800,0.6771771771771772,0.6486486486486487,3.989032745361328,0.9484655857086182,0.6405799054375896,0.6171137364180826
2000,0.6681681681681682,0.6366366366366366,5.919420480728149,0.7600357532501221,0.6335735330532647,0.6074619403629199
