,# edges,jsd
0,100,0.031132612377405167
1,200,0.031693581491708755
2,300,0.023255718871951103
3,400,0.02420511469244957
4,500,0.012246455997228622
5,100,0.03228204324841499
6,200,0.02988484315574169
7,300,0.022433120757341385
8,400,0.02769981138408184
9,500,0.019173922017216682
10,100,0.020124319940805435
11,200,0.017255127429962158
12,300,0.027373870834708214
13,400,0.027003012597560883
14,500,0.026694046333432198
15,100,0.015317147597670555
16,200,0.020256081596016884
17,300,0.017033252865076065
18,400,0.03229670226573944
19,500,0.0218257624655962
20,100,0.020872654393315315
21,200,0.03358122333884239
22,300,0.02361401543021202
23,400,0.02016321010887623
24,500,0.03635009378194809
25,100,0.023000800982117653
26,200,0.024206236004829407
27,300,0.01759237051010132
28,400,0.02548225410282612
29,500,0.03271827474236488
30,100,0.03161272034049034
31,200,0.025644056499004364
32,300,0.029815051704645157
33,400,0.028352776542305946
34,500,0.03014562278985977
35,100,0.00824732519686222
36,200,0.033630866557359695
37,300,0.020871778950095177
38,400,0.024777479469776154
39,500,0.028169818222522736
40,100,0.015711868181824684
41,200,0.021775050088763237
42,300,0.0250928346067667
43,400,0.024177756160497665
44,500,0.021776629611849785
45,100,0.015902481973171234
46,200,0.02052835375070572
47,300,0.02628379687666893
48,400,0.029158560559153557
49,500,0.022852061316370964
50,100,0.02398082986474037
51,200,0.028286686167120934
52,300,0.015181455761194229
53,400,0.023538509383797646
54,500,0.013539446517825127
55,100,0.024867428466677666
56,200,0.02761000767350197
57,300,0.01844688318669796
58,400,0.016352565959095955
59,500,0.014352712780237198
60,100,0.018422091379761696
61,200,0.019998744130134583
62,300,0.013687057420611382
63,400,0.01566215790808201
64,500,0.027070151641964912
65,100,0.029376981779932976
66,200,0.0310447309166193
67,300,0.0176825113594532
68,400,0.03839949890971184
69,500,0.01944396272301674
70,100,0.015129759907722473
71,200,0.014370880089700222
72,300,0.022390946745872498
73,400,0.023768320679664612
74,500,0.03017338179051876
75,100,0.03055756911635399
76,200,0.028811417520046234
77,300,0.0222175270318985
78,400,0.023469574749469757
79,500,0.016255851835012436
80,100,0.02380351722240448
81,200,0.018111394718289375
82,300,0.022277941927313805
83,400,0.014157412573695183
84,500,0.013055033050477505
85,100,0.021965334191918373
86,200,0.01644425466656685
87,300,0.02027592994272709
88,400,0.020726341754198074
89,500,0.012632565572857857
90,100,0.024058228358626366
91,200,0.018731188029050827
92,300,0.03299707546830177
93,400,0.014376629143953323
94,500,0.03858223184943199
95,100,0.03297446295619011
96,200,0.0191250778734684
97,300,0.01030537486076355
98,400,0.022909915074706078
99,500,0.026905864477157593
100,100,0.019878102466464043
101,200,0.01872269995510578
102,300,0.019367750734090805
103,400,0.01284752506762743
104,500,0.020013414323329926
105,100,0.0332062654197216
106,200,0.022106759250164032
107,300,0.02491096593439579
108,400,0.027625156566500664
109,500,0.01905692368745804
110,100,0.03036726824939251
111,200,0.026315556839108467
112,300,0.029531709849834442
113,400,0.00948372296988964
114,500,0.01652166061103344
115,100,0.029514290392398834
116,200,0.02672438696026802
117,300,0.032499488443136215
118,400,0.016975603997707367
119,500,0.014262177981436253
120,100,0.018986310809850693
121,200,0.009948262944817543
122,300,0.025472106412053108
123,400,0.020310193300247192
124,500,0.035930681973695755
125,100,0.02890181541442871
126,200,0.014561943709850311
127,300,0.02121659182012081
128,400,0.029444294050335884
129,500,0.018101468682289124
130,100,0.02061671018600464
131,200,0.02181766740977764
132,300,0.022995619103312492
133,400,0.0330859012901783
134,500,0.011124401353299618
135,100,0.008550024591386318
136,200,0.036403756588697433
137,300,0.031063614413142204
138,400,0.024476204067468643
139,500,0.012486538849771023
140,100,0.028763247653841972
141,200,0.008599684573709965
142,300,0.03595561534166336
143,400,0.03594498708844185
144,500,0.021328797563910484
145,100,0.029050404205918312
146,200,0.012085260823369026
147,300,0.03510317578911781
148,400,0.024480065330863
149,500,0.031638238579034805
150,100,0.03498928248882294
151,200,0.019910916686058044
152,300,0.022321529686450958
153,400,0.023533161729574203
154,500,0.01851501688361168
155,100,0.013981076888740063
156,200,0.026509419083595276
157,300,0.02105223573744297
158,400,0.019976645708084106
159,500,0.015098536387085915
160,100,0.02918548882007599
161,200,0.025841204449534416
162,300,0.019769061356782913
163,400,0.02585185505449772
164,500,0.023813437670469284
165,100,0.008468561805784702
166,200,0.01550471130758524
167,300,0.02697671763598919
168,400,0.019244765862822533
169,500,0.02767843008041382
170,100,0.007751745171844959
171,200,0.03494647890329361
172,300,0.023891374468803406
173,400,0.023417025804519653
174,500,0.027309276163578033
175,100,0.02362377941608429
176,200,0.015832597389817238
177,300,0.019652115181088448
178,400,0.01528507936745882
179,500,0.023002663627266884
180,100,0.02629437856376171
181,200,0.021324556320905685
182,300,0.02267646975815296
183,400,0.018279647454619408
184,500,0.03593754395842552
185,100,0.017346516251564026
186,200,0.012720187194645405
187,300,0.01862763985991478
188,400,0.025844566524028778
189,500,0.018757842481136322
190,100,0.03024902381002903
191,200,0.025660865008831024
192,300,0.01320332009345293
193,400,0.018313152715563774
194,500,0.016820423305034637
195,100,0.023961780592799187
196,200,0.035250138491392136
197,300,0.015964068472385406
198,400,0.01885143294930458
199,500,0.029774799942970276
