# edges,partition,running time,accuracy,f1,# shards,setting
1000,blpa,241.2728615,0.668168168,0.612344564,17,BLPA
1000,bekm,273.8031473,0.448948949,0.396193971,20,BEKM
200,blpa,78.14035344,0.8003003,0.713377371,6,BLPA
200,bekm,221.7293973,0.504504505,0.442377893,17,BEKM
400,blpa,157.2050784,0.738738739,0.666287227,12,BLPA
400,bekm,260.7788706,0.486486486,0.428194545,20,BEKM
800,blpa,221.0745709,0.677177177,0.622481157,17,BLPA
800,bekm,258.3123672,0.471471471,0.404871394,20,BEKM
1000,blpa,221.5930846,0.675675676,0.617283559,17,BLPA
1000,bekm,258.0364668,0.483483483,0.42111243,20,BEKM
200,blpa,63.09148884,0.78978979,0.710924153,5,BLPA
200,bekm,251.1769736,0.48048048,0.420874915,20,BEKM
400,blpa,164.3905687,0.732732733,0.66030057,13,BLPA
400,bekm,251.3589394,0.468468468,0.412731132,20,BEKM
800,blpa,238.7240083,0.645645646,0.590909559,19,BLPA
800,bekm,251.582819,0.483483483,0.41223107,20,BEKM
1000,blpa,236.8547294,0.638138138,0.584595362,19,BLPA
1000,bekm,250.5816751,0.483483483,0.425544178,20,BEKM
