,# edges,type,Difference
0,1,Benign,0.0045045045045044585
1,500,Benign,0.027027027027026973
2,1000,Benign,0.03003003003003002
3,1500,Benign,0.04504504504504503
4,2000,Benign,0.052552552552552534
5,1,Adversarial,0.0
6,500,Adversarial,0.0015015015015015232
7,1000,Adversarial,0.02552552552552545
8,1500,Adversarial,0.024024024024024038
9,2000,Adversarial,0.06306306306306309
