,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.5134228187919463,5.336657285690308,0.3392461197339246,20,0.5201342281879194,3.551098346710205,0.5032117418016064,18
400,0.5134228187919463,5.182122468948364,0.3392461197339246,20,0.4966442953020134,4.1890342235565186,0.4832369942196532,20
600,0.5134228187919463,5.458133220672607,0.34533278790358013,20,0.5201342281879194,4.095781326293945,0.5198693031378514,20
800,0.5100671140939598,5.510384798049927,0.3377777777777778,20,0.48322147651006714,4.125261306762695,0.37500680939151276,20
1000,0.5134228187919463,5.951647758483887,0.3392461197339246,20,0.5436241610738255,4.1541523933410645,0.5281296572280179,20
1200,0.5100671140939598,5.905622720718384,0.3377777777777778,20,0.5167785234899329,4.084942817687988,0.5003725782414308,20
1400,0.5134228187919463,5.294145584106445,0.3392461197339246,20,0.4664429530201342,4.199132442474365,0.4620266818052796,20
1600,0.5134228187919463,5.285025358200073,0.3392461197339246,20,0.436241610738255,4.125307559967041,0.3875813475559035,20
1800,0.5134228187919463,5.934101104736328,0.3392461197339246,20,0.5268456375838926,4.048738956451416,0.4733200466288121,20
2000,0.5067114093959731,5.3443896770477295,0.3363028953229399,20,0.4966442953020134,4.026483535766602,0.4485566247224278,20
