,# edges,jsd
0,100,0.08413102477788925
1,200,0.06471141427755356
2,300,0.10482395440340042
3,400,0.06387309730052948
4,500,0.07661288231611252
5,100,0.0762820839881897
6,200,0.07550227642059326
7,300,0.07433618605136871
8,400,0.07522695511579514
9,500,0.08917561173439026
10,100,0.09224027395248413
11,200,0.08180001378059387
12,300,0.07237248122692108
13,400,0.07424911111593246
14,500,0.08895976841449738
15,100,0.0909784659743309
16,200,0.08760339766740799
17,300,0.08313558995723724
18,400,0.08423946797847748
19,500,0.09111825376749039
20,100,0.10531220585107803
21,200,0.10502196848392487
22,300,0.07656335830688477
23,400,0.0864550769329071
24,500,0.08522265404462814
25,100,0.08236321061849594
26,200,0.0909273773431778
27,300,0.07408659160137177
28,400,0.08884679526090622
29,500,0.09146604686975479
30,100,0.08348385989665985
31,200,0.07489527016878128
32,300,0.07012404501438141
33,400,0.09212454408407211
34,500,0.07627463340759277
35,100,0.09749329835176468
36,200,0.07766798138618469
37,300,0.09411978721618652
38,400,0.07844648510217667
39,500,0.06999161839485168
40,100,0.09807921200990677
41,200,0.08803991973400116
42,300,0.0849003866314888
43,400,0.07900864630937576
44,500,0.07869677245616913
45,100,0.09474830329418182
46,200,0.07942503690719604
47,300,0.07642358541488647
48,400,0.09608232229948044
49,500,0.07993227243423462
50,100,0.0969894602894783
51,200,0.08670398592948914
52,300,0.07844008505344391
53,400,0.09841734915971756
54,500,0.07449094951152802
55,100,0.07884357869625092
56,200,0.08867111802101135
57,300,0.09425442665815353
58,400,0.07974444329738617
59,500,0.07775232195854187
60,100,0.08870842307806015
61,200,0.09528112411499023
62,300,0.08965680003166199
63,400,0.09864070266485214
64,500,0.07169980555772781
65,100,0.09873000532388687
66,200,0.09400442242622375
67,300,0.09673076868057251
68,400,0.09449214488267899
69,500,0.09324005246162415
70,100,0.0826505720615387
71,200,0.08792249113321304
72,300,0.07501845806837082
73,400,0.09009376168251038
74,500,0.07558891177177429
75,100,0.08510924130678177
76,200,0.09315972030162811
77,300,0.07736742496490479
78,400,0.08612425625324249
79,500,0.07989036291837692
80,100,0.0753626823425293
81,200,0.08628974109888077
82,300,0.08040107041597366
83,400,0.07118603587150574
84,500,0.07932483404874802
85,100,0.09780380874872208
86,200,0.10456180572509766
87,300,0.09796647727489471
88,400,0.08500499278306961
89,500,0.09295731037855148
90,100,0.06947461515665054
91,200,0.08549299091100693
92,300,0.07568903267383575
93,400,0.0765046775341034
94,500,0.06889490783214569
95,100,0.09222792088985443
96,200,0.10624481737613678
97,300,0.10312307626008987
98,400,0.09576307982206345
99,500,0.09161558747291565
100,100,0.08364304900169373
101,200,0.08620280027389526
102,300,0.07300880551338196
103,400,0.08565716445446014
104,500,0.07518783211708069
105,100,0.08915545046329498
106,200,0.07552698254585266
107,300,0.09906923025846481
108,400,0.08571728318929672
109,500,0.09724017977714539
110,100,0.09703712910413742
111,200,0.07290807366371155
112,300,0.08712400496006012
113,400,0.08842062205076218
114,500,0.08686735481023788
115,100,0.09184767305850983
116,200,0.11176957190036774
117,300,0.09334417432546616
118,400,0.08175472170114517
119,500,0.07364682853221893
120,100,0.07996518909931183
121,200,0.10266054421663284
122,300,0.08213276416063309
123,400,0.09182773530483246
124,500,0.07804428786039352
125,100,0.0866645947098732
126,200,0.07770940661430359
127,300,0.0844373032450676
128,400,0.07778261601924896
129,500,0.0841509997844696
130,100,0.07818719744682312
131,200,0.07723776251077652
132,300,0.08337236195802689
133,400,0.0760347917675972
134,500,0.057503607124090195
135,100,0.08003576844930649
136,200,0.09460309892892838
137,300,0.0930492952466011
138,400,0.0756414458155632
139,500,0.08959896117448807
140,100,0.0776524618268013
141,200,0.09417057782411575
142,300,0.09866301715373993
143,400,0.09441639482975006
144,500,0.0916319191455841
145,100,0.07827868312597275
146,200,0.09265715628862381
147,300,0.07611919939517975
148,400,0.07981915771961212
149,500,0.094631627202034
150,100,0.06925132125616074
151,200,0.09255343675613403
152,300,0.09586045145988464
153,400,0.08288392424583435
154,500,0.09976974874734879
155,100,0.07543908059597015
156,200,0.10032139718532562
157,300,0.09074188023805618
158,400,0.09493265300989151
159,500,0.0919637531042099
160,100,0.08593355864286423
161,200,0.09169944375753403
162,300,0.06863649934530258
163,400,0.060361284762620926
164,500,0.09124945849180222
165,100,0.0953349843621254
166,200,0.08374013006687164
167,300,0.07842770218849182
168,400,0.09135708957910538
169,500,0.0930204838514328
170,100,0.08776625990867615
171,200,0.08933255821466446
172,300,0.07543627917766571
173,400,0.0722528025507927
174,500,0.08141227811574936
175,100,0.07262314110994339
176,200,0.09233397990465164
177,300,0.08928054571151733
178,400,0.0891270861029625
179,500,0.09486240893602371
180,100,0.09064406901597977
181,200,0.09766370058059692
182,300,0.09709862619638443
183,400,0.08773385733366013
184,500,0.09346172213554382
185,100,0.07018346339464188
186,200,0.0825568288564682
187,300,0.07989455759525299
188,400,0.0933125913143158
189,500,0.08249487727880478
190,100,0.08770053088665009
191,200,0.08767268806695938
192,300,0.06980936974287033
193,400,0.08922424167394638
194,500,0.07706081122159958
195,100,0.09878453612327576
196,200,0.0820595771074295
197,300,0.09881678223609924
198,400,0.09373917430639267
199,500,0.08611521869897842
