,# Layer,Setting,Accuracy
167,4,NF-ours,0.6180811808118081
168,1,RI-original,0.8708487084870848
169,1,RI-retrain,0.8228782287822878
170,1,RI-ours,0.8468634686346863
171,1,NF-original,0.8671586715867159
172,1,NF-retrain,0.8413284132841329
173,1,NF-ours,0.8431734317343174
174,2,RI-original,0.8413284132841329
175,2,RI-retrain,0.7749077490774908
176,2,RI-ours,0.8081180811808119
177,2,NF-original,0.8173431734317343
178,2,NF-retrain,0.7564575645756457
179,2,NF-ours,0.7952029520295203
180,3,RI-original,0.8726937269372693
181,3,RI-retrain,0.8339483394833949
182,3,RI-ours,0.7693726937269373
183,3,NF-original,0.8708487084870848
184,3,NF-retrain,0.7047970479704797
185,3,NF-ours,0.7915129151291513
186,4,RI-original,0.7656826568265682
187,4,RI-retrain,0.7675276752767528
188,4,RI-ours,0.551660516605166
189,4,NF-original,0.8505535055350554
190,4,NF-retrain,0.7435424354243543
191,4,NF-ours,0.6605166051660517
192,1,RI-original,0.8708487084870848
193,1,RI-retrain,0.8173431734317343
194,1,RI-ours,0.8560885608856088
195,1,NF-original,0.8708487084870848
196,1,NF-retrain,0.8228782287822878
197,1,NF-ours,0.8560885608856088
198,2,RI-original,0.8782287822878229
199,2,RI-retrain,0.8191881918819188
200,2,RI-ours,0.8597785977859779
201,2,NF-original,0.8671586715867159
202,2,NF-retrain,0.8173431734317343
203,2,NF-ours,0.8284132841328413
204,3,RI-original,0.8025830258302583
205,3,RI-retrain,0.7084870848708487
206,3,RI-ours,0.7546125461254612
207,3,NF-original,0.8560885608856088
208,3,NF-retrain,0.8339483394833949
209,3,NF-ours,0.8191881918819188
210,4,RI-original,0.8265682656826568
211,4,RI-retrain,0.7011070110701108
212,4,RI-ours,0.6014760147601476
213,4,NF-original,0.8321033210332104
214,4,NF-retrain,0.7490774907749077
215,4,NF-ours,0.7084870848708487
216,1,RI-original,0.8671586715867159
217,1,RI-retrain,0.8191881918819188
218,1,RI-ours,0.8191881918819188
219,1,NF-original,0.8782287822878229
220,1,NF-retrain,0.8173431734317343
221,1,NF-ours,0.8357933579335793
222,2,RI-original,0.8634686346863468
223,2,RI-retrain,0.8450184501845018
224,2,RI-ours,0.8616236162361623
225,2,NF-original,0.8321033210332104
226,2,NF-retrain,0.8413284132841329
227,2,NF-ours,0.7933579335793358
228,3,RI-original,0.7822878228782287
229,3,RI-retrain,0.6642066420664207
230,3,RI-ours,0.6051660516605166
231,3,NF-original,0.8856088560885609
232,3,NF-retrain,0.8191881918819188
233,3,NF-ours,0.8450184501845018
234,4,RI-original,0.8247232472324724
235,4,RI-retrain,0.7380073800738007
236,4,RI-ours,0.6974169741697417
237,4,NF-original,0.7103321033210332
238,4,NF-retrain,0.7804428044280443
239,4,NF-ours,0.5553505535055351
