,# edges,setting,privacy leakage
171,300,saliency-O,0.56
172,300,saliency-R,0.21999999999999997
173,300,saliency-U,0.2566666666666667
174,400,saliency-O,0.6325
175,400,saliency-R,0.29500000000000004
176,400,saliency-U,0.3075
177,500,saliency-O,0.562
178,500,saliency-R,0.33599999999999997
179,500,saliency-U,0.30200000000000005
180,100,random-O,0.66
181,100,random-R,0.45999999999999996
182,100,random-U,0.43000000000000005
183,200,random-O,0.68
184,200,random-R,0.41500000000000004
185,200,random-U,0.485
186,300,random-O,0.7
187,300,random-R,0.47
188,300,random-U,0.4766666666666667
189,400,random-O,0.6875
190,400,random-R,0.43999999999999995
191,400,random-U,0.4625
192,500,random-O,0.656
193,500,random-R,0.43000000000000005
194,500,random-U,0.44399999999999995
195,100,max-degree-O,0.85
196,100,max-degree-R,0.75
197,100,max-degree-U,0.74
198,200,max-degree-O,0.87
199,200,max-degree-R,0.755
200,200,max-degree-U,0.77
201,300,max-degree-O,0.8833333333333333
202,300,max-degree-R,0.76
203,300,max-degree-U,0.73
204,400,max-degree-O,0.85
205,400,max-degree-R,0.7275
206,400,max-degree-U,0.7224999999999999
207,500,max-degree-O,0.856
208,500,max-degree-R,0.712
209,500,max-degree-U,0.71
210,100,min-degree-O,0.52
211,100,min-degree-R,0.16000000000000003
212,100,min-degree-U,0.17000000000000004
213,200,min-degree-O,0.61
214,200,min-degree-R,0.25
215,200,min-degree-U,0.21999999999999997
216,300,min-degree-O,0.5766666666666667
217,300,min-degree-R,0.21333333333333337
218,300,min-degree-U,0.18666666666666665
219,400,min-degree-O,0.64
220,400,min-degree-R,0.22499999999999998
221,400,min-degree-U,0.21499999999999997
222,500,min-degree-O,0.566
223,500,min-degree-R,0.23399999999999999
224,500,min-degree-U,0.252
225,100,saliency-O,0.59
226,100,saliency-R,0.17000000000000004
227,100,saliency-U,0.15000000000000002
228,200,saliency-O,0.57
229,200,saliency-R,0.18000000000000005
230,200,saliency-U,0.20999999999999996
231,300,saliency-O,0.58
232,300,saliency-R,0.2766666666666666
233,300,saliency-U,0.2766666666666666
234,400,saliency-O,0.5675
235,400,saliency-R,0.27
236,400,saliency-U,0.3025
237,500,saliency-O,0.55
238,500,saliency-R,0.31799999999999995
239,500,saliency-U,0.32999999999999996
240,100,random-O,0.68
241,100,random-R,0.44999999999999996
242,100,random-U,0.4
243,200,random-O,0.66
244,200,random-R,0.395
245,200,random-U,0.39
246,300,random-O,0.6833333333333333
247,300,random-R,0.38
248,300,random-U,0.41000000000000003
249,400,random-O,0.67
250,400,random-R,0.43999999999999995
251,400,random-U,0.44499999999999995
252,500,random-O,0.672
253,500,random-R,0.42600000000000005
254,500,random-U,0.45599999999999996
255,100,max-degree-O,0.82
256,100,max-degree-R,0.74
257,100,max-degree-U,0.76
258,200,max-degree-O,0.815
259,200,max-degree-R,0.77
260,200,max-degree-U,0.78
261,300,max-degree-O,0.8533333333333334
262,300,max-degree-R,0.7366666666666667
263,300,max-degree-U,0.7233333333333334
264,400,max-degree-O,0.8475
265,400,max-degree-R,0.6875
266,400,max-degree-U,0.6725
267,500,max-degree-O,0.818
268,500,max-degree-R,0.69
269,500,max-degree-U,0.6779999999999999
270,100,min-degree-O,0.59
271,100,min-degree-R,0.15000000000000002
272,100,min-degree-U,0.18999999999999995
273,200,min-degree-O,0.47
274,200,min-degree-R,0.17500000000000004
275,200,min-degree-U,0.19999999999999996
276,300,min-degree-O,0.53
277,300,min-degree-R,0.21666666666666667
278,300,min-degree-U,0.22333333333333338
279,400,min-degree-O,0.6025
280,400,min-degree-R,0.24750000000000005
281,400,min-degree-U,0.24750000000000005
282,500,min-degree-O,0.514
283,500,min-degree-R,0.19799999999999995
284,500,min-degree-U,0.242
285,100,saliency-O,0.6
286,100,saliency-R,0.16000000000000003
287,100,saliency-U,0.10999999999999999
288,200,saliency-O,0.52
289,200,saliency-R,0.20499999999999996
290,200,saliency-U,0.20499999999999996
291,300,saliency-O,0.5633333333333334
292,300,saliency-R,0.2466666666666667
293,300,saliency-U,0.2566666666666667
294,400,saliency-O,0.595
295,400,saliency-R,0.2975
296,400,saliency-U,0.27249999999999996
297,500,saliency-O,0.632
298,500,saliency-R,0.31999999999999995
299,500,saliency-U,0.32799999999999996
300,100,random-O,0.63
301,100,random-R,0.43000000000000005
302,100,random-U,0.43999999999999995
303,200,random-O,0.685
304,200,random-R,0.45499999999999996
305,200,random-U,0.48
306,300,random-O,0.6966666666666667
307,300,random-R,0.43666666666666665
308,300,random-U,0.45333333333333337
309,400,random-O,0.695
310,400,random-R,0.43999999999999995
311,400,random-U,0.44999999999999996
312,500,random-O,0.682
313,500,random-R,0.44399999999999995
314,500,random-U,0.45999999999999996
315,100,max-degree-O,0.88
316,100,max-degree-R,0.85
