,# Layer,Setting,Accuracy
168,4,RI-original,0.8355704697986577
169,4,RI-retrain,0.8288590604026845
170,4,RI-ours,0.4865771812080537
171,4,NF-original,0.5201342281879194
172,4,NF-retrain,0.8624161073825504
173,4,NF-ours,0.5201342281879194
174,5,RI-original,0.4865771812080537
175,5,RI-retrain,0.5201342281879194
176,5,RI-ours,0.4865771812080537
177,5,NF-original,0.8590604026845637
178,5,NF-retrain,0.4865771812080537
179,5,NF-ours,0.4865771812080537
180,1,RI-original,0.8657718120805369
181,1,RI-retrain,0.8557046979865772
182,1,RI-ours,0.8691275167785235
183,1,NF-original,0.8590604026845637
184,1,NF-retrain,0.8456375838926175
185,1,NF-ours,0.6308724832214765
186,2,RI-original,0.8523489932885906
187,2,RI-retrain,0.8422818791946308
188,2,RI-ours,0.62751677852349
189,2,NF-original,0.8456375838926175
190,2,NF-retrain,0.8456375838926175
191,2,NF-ours,0.8187919463087249
192,3,RI-original,0.8422818791946308
193,3,RI-retrain,0.8791946308724832
194,3,RI-ours,0.7315436241610739
195,3,NF-original,0.8624161073825504
196,3,NF-retrain,0.8691275167785235
197,3,NF-ours,0.5134228187919463
198,4,RI-original,0.825503355704698
199,4,RI-retrain,0.8691275167785235
200,4,RI-ours,0.5134228187919463
201,4,NF-original,0.5201342281879194
202,4,NF-retrain,0.8624161073825504
203,4,NF-ours,0.5201342281879194
204,5,RI-original,0.5134228187919463
205,5,RI-retrain,0.8624161073825504
206,5,RI-ours,0.5134228187919463
207,5,NF-original,0.4865771812080537
208,5,NF-retrain,0.5134228187919463
209,5,NF-ours,0.4865771812080537
210,1,RI-original,0.8657718120805369
211,1,RI-retrain,0.8590604026845637
212,1,RI-ours,0.7986577181208053
213,1,NF-original,0.8691275167785235
214,1,NF-retrain,0.8624161073825504
215,1,NF-ours,0.785234899328859
216,2,RI-original,0.8322147651006712
217,2,RI-retrain,0.8422818791946308
218,2,RI-ours,0.5134228187919463
219,2,NF-original,0.8154362416107382
220,2,NF-retrain,0.8657718120805369
221,2,NF-ours,0.6442953020134228
222,3,RI-original,0.8657718120805369
223,3,RI-retrain,0.8187919463087249
224,3,RI-ours,0.5134228187919463
225,3,NF-original,0.7953020134228188
226,3,NF-retrain,0.8489932885906041
227,3,NF-ours,0.5335570469798657
228,4,RI-original,0.8624161073825504
229,4,RI-retrain,0.7751677852348994
230,4,RI-ours,0.7114093959731543
231,4,NF-original,0.5134228187919463
232,4,NF-retrain,0.4865771812080537
233,4,NF-ours,0.5134228187919463
234,5,RI-original,0.5201342281879194
235,5,RI-retrain,0.5201342281879194
236,5,RI-ours,0.5201342281879194
237,5,NF-original,0.8389261744966443
238,5,NF-retrain,0.8389261744966443
239,5,NF-ours,0.4865771812080537
240,1,RI-original,0.8691275167785235
241,1,RI-retrain,0.8557046979865772
242,1,RI-ours,0.8422818791946308
243,1,NF-original,0.8422818791946308
244,1,NF-retrain,0.8389261744966443
245,1,NF-ours,0.7583892617449665
246,2,RI-original,0.8624161073825504
247,2,RI-retrain,0.8389261744966443
248,2,RI-ours,0.8120805369127517
249,2,NF-original,0.8389261744966443
250,2,NF-retrain,0.8087248322147651
251,2,NF-ours,0.5100671140939598
252,3,RI-original,0.7315436241610739
253,3,RI-retrain,0.4865771812080537
254,3,RI-ours,0.5134228187919463
255,3,NF-original,0.8154362416107382
256,3,NF-retrain,0.8557046979865772
257,3,NF-ours,0.4865771812080537
258,4,RI-original,0.8590604026845637
259,4,RI-retrain,0.8187919463087249
260,4,RI-ours,0.5134228187919463
261,4,NF-original,0.5201342281879194
262,4,NF-retrain,0.7818791946308725
263,4,NF-ours,0.4865771812080537
264,5,RI-original,0.4865771812080537
265,5,RI-retrain,0.5234899328859061
266,5,RI-ours,0.4865771812080537
267,5,NF-original,0.8523489932885906
268,5,NF-retrain,0.7885906040268457
269,5,NF-ours,0.47651006711409394
270,1,RI-original,0.8489932885906041
271,1,RI-retrain,0.8691275167785235
272,1,RI-ours,0.8456375838926175
273,1,NF-original,0.8590604026845637
274,1,NF-retrain,0.8624161073825504
275,1,NF-ours,0.8557046979865772
276,2,RI-original,0.802013422818792
277,2,RI-retrain,0.8389261744966443
278,2,RI-ours,0.8389261744966443
279,2,NF-original,0.8154362416107382
280,2,NF-retrain,0.7785234899328859
281,2,NF-ours,0.47651006711409394
282,3,RI-original,0.8355704697986577
283,3,RI-retrain,0.7315436241610739
284,3,RI-ours,0.7348993288590604
285,3,NF-original,0.8422818791946308
286,3,NF-retrain,0.8187919463087249
287,3,NF-ours,0.7919463087248322
288,4,RI-original,0.8557046979865772
289,4,RI-retrain,0.8657718120805369
290,4,RI-ours,0.5134228187919463
291,4,NF-original,0.7013422818791947
292,4,NF-retrain,0.8422818791946308
293,4,NF-ours,0.5134228187919463
294,5,RI-original,0.5201342281879194
295,5,RI-retrain,0.8523489932885906
296,5,RI-ours,0.4865771812080537
297,5,NF-original,0.8221476510067114
298,5,NF-retrain,0.4865771812080537
299,5,NF-ours,0.5134228187919463
