,# edges,type,Difference
0,1,Benign,0.3783783783783784
1,500,Benign,0.1936936936936937
2,1000,Benign,0.1861861861861862
3,1500,Benign,0.3888888888888889
4,2000,Benign,0.19669669669669676
5,1,Adversarial,0.0
6,500,Adversarial,0.18018018018018023
7,1000,Adversarial,0.2822822822822823
8,1500,Adversarial,0.2222222222222222
9,2000,Adversarial,0.36486486486486486
