,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,24.49287486076355,0.9026845637583892,0.9021988841483426,20
1,0,bekm,30.64501404762268,0.8825503355704698,0.8800529009257662,20
2,100,blpa,13.11044192314148,0.6342281879194631,0.5675697264194901,20
3,100,bekm,7.691074848175049,0.7919463087248322,0.7888650180554921,11
4,200,blpa,14.400887727737427,0.714765100671141,0.6854314916235114,20
5,200,bekm,8.445446252822876,0.738255033557047,0.7229691075514875,13
6,400,blpa,14.156341791152954,0.6241610738255033,0.5514219665609376,20
7,400,bekm,12.729397773742676,0.5738255033557047,0.492973219190011,19
8,800,blpa,15.260664939880371,0.6409395973154363,0.5781103216501938,20
9,800,bekm,12.845570087432861,0.5570469798657718,0.464291550907011,20
10,1000,blpa,15.735705137252808,0.674496644295302,0.6283572686714922,20
11,1000,bekm,12.638617038726807,0.5503355704697986,0.4524462483545415,20
12,0,blpa,37.834218978881836,0.9865771812080537,0.9865747623552732,20
13,0,bekm,28.111141443252563,0.8523489932885906,0.8504016064257027,20
14,100,blpa,14.068120002746582,0.6879194630872483,0.6492031948153868,20
15,100,bekm,11.327935457229614,0.5570469798657718,0.464291550907011,18
16,200,blpa,14.327539920806885,0.6677852348993288,0.6206945319430694,20
17,200,bekm,11.885954856872559,0.5436241610738255,0.4403755868544601,19
18,400,blpa,14.40320086479187,0.62751677852349,0.5596352259868203,20
19,400,bekm,12.679228067398071,0.5671140939597316,0.4816552728449496,20
20,800,blpa,15.45729947090149,0.6476510067114094,0.5908894787076867,20
21,800,bekm,13.293070077896118,0.5570469798657718,0.464291550907011,20
22,1000,blpa,15.801827430725098,0.6644295302013423,0.6158209570957096,20
23,1000,bekm,12.599846839904785,0.5570469798657718,0.464291550907011,20
24,0,blpa,31.81205129623413,0.9865771812080537,0.9865747623552732,20
25,0,bekm,33.64989161491394,0.8053691275167785,0.8001849710982658,20
26,100,blpa,13.369118213653564,0.714765100671141,0.6839872746553552,20
27,100,bekm,8.962816953659058,0.6409395973154363,0.5963950736047998,14
28,200,blpa,14.230747699737549,0.6208053691275168,0.5459460917168939,20
29,200,bekm,9.465393781661987,0.6241610738255033,0.5720367235985023,15
30,400,blpa,14.703490734100342,0.7248322147651006,0.6972145122918318,20
31,400,bekm,11.42729663848877,0.5906040268456376,0.5204200084423808,17
32,800,blpa,16.22101855278015,0.7181208053691275,0.6898295003965107,20
33,800,bekm,12.764194011688232,0.540268456375839,0.4342530105455704,19
34,1000,blpa,15.915395021438599,0.6308724832214765,0.562232905982906,20
35,1000,bekm,13.372345685958862,0.5637583892617449,0.47591991341991335,20
36,0,blpa,27.364128828048706,0.9429530201342282,0.9429009388771795,20
37,0,bekm,29.207801580429077,0.8489932885906041,0.8466289243437983,20
38,100,blpa,13.664835214614868,0.7080536912751678,0.6780298796617116,20
39,100,bekm,8.408994913101196,0.6677852348993288,0.6336202078909132,13
40,200,blpa,14.336483001708984,0.6644295302013423,0.6158209570957096,20
41,200,bekm,11.180996656417847,0.6140939597315436,0.5569775709391765,17
42,400,blpa,14.244354009628296,0.62751677852349,0.5568506088983561,20
43,400,bekm,12.039220571517944,0.6140939597315436,0.5569775709391765,19
44,800,blpa,15.459754943847656,0.7449664429530202,0.7240740740740741,20
45,800,bekm,12.41445779800415,0.5369127516778524,0.4280707610146862,20
46,1000,blpa,16.275744676589966,0.6241610738255033,0.5542735042735042,20
47,1000,bekm,12.893537282943726,0.5704697986577181,0.4873393903553572,20
48,0,blpa,33.734615087509155,0.9697986577181208,0.9697983176244046,20
49,0,bekm,34.12111759185791,0.8389261744966443,0.8330298361115003,20
50,100,blpa,13.90034031867981,0.62751677852349,0.5568506088983561,20
51,100,bekm,9.486260414123535,0.6946308724832215,0.6689495208447782,15
52,200,blpa,14.601552248001099,0.7315436241610739,0.708372070264716,20
53,200,bekm,11.639018058776855,0.5973154362416108,0.5310778914240755,17
54,400,blpa,14.356595516204834,0.6208053691275168,0.5488659351848131,20
55,400,bekm,11.13193678855896,0.5973154362416108,0.5310778914240755,18
56,800,blpa,15.255809545516968,0.6241610738255033,0.5514219665609376,20
57,800,bekm,12.447025299072266,0.5906040268456376,0.5204200084423808,19
58,1000,blpa,15.989604234695435,0.6174496644295302,0.5404220779220779,20
59,1000,bekm,12.422699213027954,0.5805369127516778,0.5040937229581308,19
60,0,blpa,35.23738741874695,0.9865771812080537,0.9865747623552732,20
61,0,bekm,30.66631817817688,0.8557046979865772,0.8513508810598238,20
62,100,blpa,13.105263471603394,0.7449664429530202,0.7229534667514801,20
63,100,bekm,7.324314832687378,0.7080536912751678,0.6859852476290833,12
64,200,blpa,13.232602596282959,0.7181208053691275,0.6898295003965107,20
65,200,bekm,8.511809349060059,0.6812080536912751,0.6515048932110543,14
66,400,blpa,14.02797532081604,0.6543624161073825,0.5986820600656355,20
67,400,bekm,11.716973543167114,0.5906040268456376,0.5204200084423808,18
68,800,blpa,15.60011076927185,0.6577181208053692,0.6037234042553191,20
69,800,bekm,12.715012073516846,0.5570469798657718,0.464291550907011,20
70,1000,blpa,16.06962513923645,0.6174496644295302,0.5404220779220779,20
71,1000,bekm,13.334282159805298,0.5503355704697986,0.4524462483545415,20
72,0,blpa,37.208191871643066,0.9765100671140939,0.9765098025967591,20
73,0,bekm,33.83296585083008,0.912751677852349,0.9116009492515517,20
74,100,blpa,13.547773361206055,0.6812080536912751,0.6398356296833454,20
75,100,bekm,7.639594554901123,0.8120805369127517,0.8070751445086706,12
76,200,blpa,13.85772180557251,0.697986577181208,0.6646158463385354,20
77,200,bekm,9.675743103027344,0.714765100671141,0.6943589743589743,15
78,400,blpa,15.248788118362427,0.6610738255033557,0.6109107362161463,20
79,400,bekm,10.720882654190063,0.7046979865771812,0.6817630212125625,16
80,800,blpa,16.304667949676514,0.6677852348993288,0.6206945319430694,20
81,800,bekm,13.203193664550781,0.5671140939597316,0.4816552728449496,20
82,1000,blpa,15.818143367767334,0.6208053691275168,0.5459460917168939,20
83,1000,bekm,13.787484169006348,0.5604026845637584,0.4701323379708178,20
84,0,blpa,31.544761896133423,0.9664429530201343,0.9664414414414414,20
85,0,bekm,34.77069330215454,0.714765100671141,0.6839872746553552,20
86,100,blpa,14.077010869979858,0.6778523489932886,0.6351020408163266,20
87,100,bekm,5.319894790649414,0.7416107382550335,0.7187266330795916,8
88,200,blpa,13.940194368362427,0.6812080536912751,0.6398356296833454,20
89,200,bekm,8.411956071853638,0.7550335570469798,0.7427966752976508,13
90,400,blpa,14.943372011184692,0.6308724832214765,0.562232905982906,20
91,400,bekm,10.60158085823059,0.6610738255033557,0.6245025263551869,16
92,800,blpa,15.523153305053711,0.7046979865771812,0.6720688275310125,20
93,800,bekm,13.457379579544067,0.5503355704697986,0.4524462483545415,20
94,1000,blpa,16.252793788909912,0.7516778523489933,0.7323916314742003,20
95,1000,bekm,13.515353918075562,0.5503355704697986,0.4524462483545415,20
96,0,blpa,30.888155698776245,0.9362416107382551,0.9361546181342535,20
97,0,bekm,33.788912773132324,0.8489932885906041,0.8440607012035584,20
98,100,blpa,13.615323305130005,0.6577181208053692,0.6081373762376239,20
99,100,bekm,6.074080944061279,0.7986577181208053,0.7923344947735191,9
100,200,blpa,13.843526601791382,0.6208053691275168,0.5459460917168939,20
101,200,bekm,8.522732257843018,0.7046979865771812,0.6817630212125625,13
102,400,blpa,14.97612738609314,0.6442953020134228,0.5833157450401014,20
103,400,bekm,10.84950041770935,0.6241610738255033,0.5720367235985023,18
104,800,blpa,14.88200068473816,0.6812080536912751,0.6379563910735981,20
105,800,bekm,12.699013233184814,0.5604026845637584,0.4701323379708178,20
106,1000,blpa,15.621860980987549,0.6241610738255033,0.5514219665609376,20
107,1000,bekm,12.796457767486572,0.5469798657718121,0.4464396284829722,20
108,0,blpa,26.989691495895386,0.9295302013422819,0.9293958368590286,20
109,0,bekm,40.48383140563965,0.8590604026845637,0.8553063583815028,20
110,100,blpa,13.287966966629028,0.6845637583892618,0.642704081632653,20
111,100,bekm,10.22111439704895,0.6040268456375839,0.5415623696287026,16
112,200,blpa,14.203732013702393,0.7114093959731543,0.6810057256659199,20
113,200,bekm,10.406032085418701,0.6040268456375839,0.5415623696287026,16
114,400,blpa,14.122377157211304,0.62751677852349,0.5568506088983561,20
115,400,bekm,12.51789140701294,0.5637583892617449,0.47591991341991335,19
116,800,blpa,15.174360513687134,0.6677852348993288,0.6186154741128562,20
117,800,bekm,11.662240982055664,0.5805369127516778,0.5040937229581308,19
118,1000,blpa,15.884104013442993,0.7651006711409396,0.7496639784946237,20
119,1000,bekm,12.168108701705933,0.5671140939597316,0.4816552728449496,19
