# edges,partition,running time,accuracy,f1,# shards,setting
1000,blpa,250.9498508,0.65015015,0.594272342,18,BLPA
1000,bekm,278.158498,0.492492492,0.43524528,20,BEKM
200,blpa,139.5138979,0.750750751,0.685737847,10,BLPA
200,bekm,237.1316164,0.558558559,0.499449272,17,BEKM
400,blpa,168.7098911,0.741741742,0.675300551,12,BLPA
400,bekm,266.5547051,0.477477477,0.41044753,20,BEKM
800,blpa,233.7236302,0.675675676,0.616658559,17,BLPA
800,bekm,249.6556213,0.506006006,0.432783113,20,BEKM
1000,blpa,258.236644,0.645645646,0.589909475,19,BLPA
1000,bekm,277.9223402,0.5,0.437715135,20,BEKM
200,blpa,119.0294673,0.785285285,0.720603207,9,BLPA
200,bekm,207.3509758,0.534534535,0.468055741,17,BEKM
400,blpa,168.6755857,0.747747748,0.682207908,13,BLPA
400,bekm,230.5006526,0.5,0.435634129,19,BEKM
800,blpa,230.7703385,0.653153153,0.592694115,18,BLPA
800,bekm,248.1660237,0.468468468,0.408982986,20,BEKM
1000,blpa,228.0869787,0.656156156,0.592362152,18,BLPA
1000,bekm,241.8837674,0.475975976,0.405386399,20,BEKM
