,# Layer,Setting,Accuracy
0,1,RI-original,0.8357933579335793
1,1,RI-retrain,0.7952029520295203
2,1,RI-ours,0.7988929889298892
3,1,NF-original,0.8487084870848709
4,1,NF-retrain,0.7693726937269373
5,1,NF-ours,0.8284132841328413
6,2,RI-original,0.8062730627306273
7,2,RI-retrain,0.7638376383763837
8,2,RI-ours,0.7915129151291513
9,2,NF-original,0.8284132841328413
10,2,NF-retrain,0.7822878228782287
11,2,NF-ours,0.8154981549815498
12,3,RI-original,0.7490774907749077
13,3,RI-retrain,0.6217712177121771
14,3,RI-ours,0.7398523985239852
15,3,NF-original,0.8394833948339483
16,3,NF-retrain,0.3671586715867159
17,3,NF-ours,0.8247232472324724
18,4,RI-original,0.4280442804428044
19,4,RI-retrain,0.6900369003690037
20,4,RI-ours,0.42435424354243545
21,4,NF-original,0.47601476014760147
22,4,NF-retrain,0.5682656826568265
23,4,NF-ours,0.4225092250922509
24,1,RI-original,0.8210332103321033
25,1,RI-retrain,0.8099630996309963
26,1,RI-ours,0.8284132841328413
27,1,NF-original,0.8191881918819188
28,1,NF-retrain,0.8265682656826568
29,1,NF-ours,0.8191881918819188
30,2,RI-original,0.8191881918819188
31,2,RI-retrain,0.7952029520295203
32,2,RI-ours,0.8081180811808119
33,2,NF-original,0.8302583025830258
34,2,NF-retrain,0.7546125461254612
35,2,NF-ours,0.8173431734317343
36,3,RI-original,0.6771217712177122
37,3,RI-retrain,0.7453874538745388
38,3,RI-ours,0.6088560885608856
39,3,NF-original,0.5479704797047971
40,3,NF-retrain,0.525830258302583
41,3,NF-ours,0.492619926199262
42,4,RI-original,0.7140221402214022
43,4,RI-retrain,0.6217712177121771
44,4,RI-ours,0.6143911439114391
45,4,NF-original,0.46494464944649444
46,4,NF-retrain,0.6309963099630996
47,4,NF-ours,0.45202952029520294
48,1,RI-original,0.8247232472324724
49,1,RI-retrain,0.8228782287822878
50,1,RI-ours,0.8025830258302583
51,1,NF-original,0.8339483394833949
52,1,NF-retrain,0.8173431734317343
53,1,NF-ours,0.8357933579335793
54,2,RI-original,0.7712177121771218
55,2,RI-retrain,0.7841328413284133
56,2,RI-ours,0.7675276752767528
57,2,NF-original,0.7453874538745388
58,2,NF-retrain,0.7915129151291513
59,2,NF-ours,0.7306273062730627
60,3,RI-original,0.7084870848708487
61,3,RI-retrain,0.5498154981549815
62,3,RI-ours,0.6881918819188192
63,3,NF-original,0.6476014760147601
