,# edges,setting,privacy leakage
161,400,min-degree-U,0.0050000000000000044
162,500,min-degree-O,0.9
163,500,min-degree-R,0.0020000000000000018
164,500,min-degree-U,0.0040000000000000036
165,100,saliency-O,0.87
166,100,saliency-R,0.010000000000000009
167,100,saliency-U,0.22999999999999998
168,200,saliency-O,0.88
169,200,saliency-R,0.22999999999999998
170,200,saliency-U,0.15500000000000003
171,300,saliency-O,0.8833333333333333
172,300,saliency-R,0.020000000000000018
173,300,saliency-U,0.00666666666666671
174,400,saliency-O,0.8625
175,400,saliency-R,0.03749999999999998
176,400,saliency-U,0.01749999999999996
177,500,saliency-O,0.882
178,500,saliency-R,0.028000000000000025
179,500,saliency-U,0.016000000000000014
180,100,random-O,0.94
181,100,random-R,0.20999999999999996
182,100,random-U,0.10999999999999999
183,200,random-O,0.895
184,200,random-R,0.27
185,200,random-U,0.19499999999999995
186,300,random-O,0.8866666666666667
187,300,random-R,0.29666666666666663
188,300,random-U,0.2366666666666667
189,400,random-O,0.875
190,400,random-R,0.1775
191,400,random-U,0.15249999999999997
192,500,random-O,0.706
193,500,random-R,0.31200000000000006
194,500,random-U,0.21799999999999997
195,100,max-degree-O,0.91
196,100,max-degree-R,0.22999999999999998
197,100,max-degree-U,0.26
198,200,max-degree-O,0.93
199,200,max-degree-R,0.19499999999999995
200,200,max-degree-U,0.365
201,300,max-degree-O,0.8833333333333333
202,300,max-degree-R,0.2666666666666667
203,300,max-degree-U,0.2566666666666667
204,400,max-degree-O,0.7275
205,400,max-degree-R,0.16000000000000003
206,400,max-degree-U,0.12
207,500,max-degree-O,0.898
208,500,max-degree-R,0.15400000000000003
209,500,max-degree-U,0.132
210,100,min-degree-O,0.88
211,100,min-degree-R,0.020000000000000018
212,100,min-degree-U,0.020000000000000018
213,200,min-degree-O,0.855
214,200,min-degree-R,0.0050000000000000044
215,200,min-degree-U,0.010000000000000009
216,300,min-degree-O,0.86
217,300,min-degree-R,0.00666666666666671
218,300,min-degree-U,0.00666666666666671
219,400,min-degree-O,0.885
220,400,min-degree-R,0.2025
221,400,min-degree-U,0.0024999999999999467
222,500,min-degree-O,0.894
223,500,min-degree-R,0.0020000000000000018
224,500,min-degree-U,0.0020000000000000018
225,100,saliency-O,0.87
226,100,saliency-R,0.17000000000000004
227,100,saliency-U,0.15000000000000002
228,200,saliency-O,0.86
229,200,saliency-R,0.025000000000000022
230,200,saliency-U,0.020000000000000018
231,300,saliency-O,0.9233333333333333
232,300,saliency-R,0.010000000000000009
233,300,saliency-U,0.013333333333333308
234,400,saliency-O,0.87
235,400,saliency-R,0.04749999999999999
236,400,saliency-U,0.030000000000000027
237,500,saliency-O,0.864
238,500,saliency-R,0.028000000000000025
239,500,saliency-U,0.02200000000000002
240,100,random-O,0.89
241,100,random-R,0.26
242,100,random-U,0.20999999999999996
243,200,random-O,0.905
244,200,random-R,0.24
245,200,random-U,0.19499999999999995
246,300,random-O,0.8766666666666667
247,300,random-R,0.18666666666666665
248,300,random-U,0.27
249,400,random-O,0.905
250,400,random-R,0.2025
251,400,random-U,0.1775
252,500,random-O,0.892
253,500,random-R,0.17400000000000004
254,500,random-U,0.138
255,100,max-degree-O,0.75
256,100,max-degree-R,0.12
257,100,max-degree-U,0.12
258,200,max-degree-O,0.78
259,200,max-degree-R,0.19499999999999995
260,200,max-degree-U,0.18500000000000005
261,300,max-degree-O,0.7666666666666667
262,300,max-degree-R,0.33333333333333337
263,300,max-degree-U,0.20666666666666667
264,400,max-degree-O,0.76
265,400,max-degree-R,0.14
266,400,max-degree-U,0.14
267,500,max-degree-O,0.804
268,500,max-degree-R,0.17200000000000004
269,500,max-degree-U,0.122
270,100,min-degree-O,0.93
271,100,min-degree-R,0.010000000000000009
272,100,min-degree-U,0.16000000000000003
273,200,min-degree-O,0.88
274,200,min-degree-R,0.0050000000000000044
275,200,min-degree-U,0.0050000000000000044
276,300,min-degree-O,0.8733333333333333
277,300,min-degree-R,0.19666666666666666
278,300,min-degree-U,0.0033333333333332993
279,400,min-degree-O,0.85
280,400,min-degree-R,0.0050000000000000044
281,400,min-degree-U,0.0050000000000000044
282,500,min-degree-O,0.876
283,500,min-degree-R,0.0040000000000000036
284,500,min-degree-U,0.0040000000000000036
285,100,saliency-O,0.85
286,100,saliency-R,0.17000000000000004
287,100,saliency-U,0.22999999999999998
288,200,saliency-O,0.85
289,200,saliency-R,0.025000000000000022
290,200,saliency-U,0.020000000000000018
291,300,saliency-O,0.8433333333333334
292,300,saliency-R,0.01666666666666672
293,300,saliency-U,0.010000000000000009
294,400,saliency-O,0.8725
295,400,saliency-R,0.03500000000000003
296,400,saliency-U,0.025000000000000022
297,500,saliency-O,0.874
298,500,saliency-R,0.03200000000000003
299,500,saliency-U,0.014000000000000012
300,100,random-O,0.88
301,100,random-R,0.19999999999999996
302,100,random-U,0.18999999999999995
303,200,random-O,0.875
304,200,random-R,0.32499999999999996
305,200,random-U,0.265
306,300,random-O,0.8833333333333333
307,300,random-R,0.2366666666666667
308,300,random-U,0.37
309,400,random-O,0.8825
310,400,random-R,0.22750000000000004
311,400,random-U,0.21250000000000002
312,500,random-O,0.87
313,500,random-R,0.20599999999999996
314,500,random-U,0.19399999999999995
315,100,max-degree-O,0.78
316,100,max-degree-R,0.17000000000000004
317,100,max-degree-U,0.14
318,200,max-degree-O,0.895
319,200,max-degree-R,0.27
320,200,max-degree-U,0.235
321,300,max-degree-O,0.77
