# edges,partition,running time,accuracy,f1,# shards,setting
1000,blpa,235.5746391,0.627627628,0.582435086,18,BLPA
1000,bekm,261.449399,0.477477477,0.400620171,20,BEKM
200,blpa,117.0227778,0.776276276,0.679906486,9,BLPA
200,bekm,219.2639213,0.594594595,0.519265733,17,BEKM
400,blpa,168.4833055,0.726726727,0.6455142,13,BLPA
400,bekm,259.1133399,0.442942943,0.383027586,20,BEKM
800,blpa,220.7762885,0.66966967,0.61251018,17,BLPA
800,bekm,262.2812839,0.445945946,0.371395655,20,BEKM
1000,blpa,246.8930612,0.599099099,0.546007836,19,BLPA
1000,bekm,261.3980939,0.418918919,0.358545453,20,BEKM
200,blpa,103.6741643,0.771771772,0.670781121,8,BLPA
200,bekm,271.8070803,0.471471471,0.397175244,20,BEKM
400,blpa,128.0901752,0.765765766,0.669289476,9,BLPA
400,bekm,265.2214453,0.448948949,0.378414709,20,BEKM
800,blpa,220.1132944,0.684684685,0.629142057,17,BLPA
800,bekm,265.907558,0.472972973,0.405118119,20,BEKM
1000,blpa,225.1533957,0.68018018,0.623088975,17,BLPA
1000,bekm,306.6770899,0.46996997,0.405381642,20,BEKM
