,# edges,type,Difference
0,1,Benign,0.027675276752767597
1,500,Benign,0.02583025830258312
2,1000,Benign,0.02029520295202958
3,1500,Benign,0.014760147601476037
4,2000,Benign,0.009225092250922495
5,1,Adversarial,0.0
6,500,Adversarial,0.0055350553505534306
7,1000,Adversarial,0.016605166051660514
8,1500,Adversarial,0.0036900369003689537
9,2000,Adversarial,0.009225092250922495
