,# edges,JSD
0,200,0.003940556
1,400,0.004981622
2,600,0.006623433
3,800,0.008198648
4,1000,0.010035462
5,1200,0.010681828
6,1400,inf
7,1600,inf
8,1800,0.016362729
9,2000,0.01719315
10,100,0.003082
