,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.9557906943035223,0.9505725467459052,14.233246088027954,15.979374647140503,0.9415866850857413,0.9340320820848618
400,0.9514422380055081,0.9505725467459052,13.248185873031616,26.11758041381836,0.9360728744134672,0.9340320820848618
600,0.9559356428467893,0.9504275982026381,18.372875452041626,27.22141194343567,0.9421624640495889,0.9338410903739234
800,0.9562255399333237,0.9504275982026381,24.518568515777588,26.382401704788208,0.9412480373278311,0.9338410903739234
1000,0.9556457457602551,0.9504275982026381,30.890655517578125,23.624618530273438,0.9408725919690382,0.9338410903739234
1200,0.9512972894622409,0.9504275982026381,38.47295379638672,24.062904596328735,0.9340068636348413,0.9336849700511414
1400,0.9552109001304537,0.9502826496593709,46.25083088874817,16.8684024810791,0.9410843972936485,0.933410960954844
1600,0.955500797216988,0.9499927525728367,58.82071375846863,15.598477840423584,0.9402039919983377,0.9331545993767782
1800,0.9553558486737208,0.9499927525728367,69.55084276199341,16.570626974105835,0.9403281683780799,0.9331545993767782
2000,0.9540513117843166,0.9497028554863024,80.86976480484009,15.691872835159302,0.9389979314268231,0.9326227221967036
