,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.6420664206642066,36.45033144950867,0.5579704429486068,18,0.466789667896679,21.423299312591553,0.3791070231715216,20
400,0.5940959409594095,34.149402141571045,0.5405052862040157,20,0.42435424354243545,18.911659240722656,0.35699188543607285,20
600,0.5885608856088561,30.135836124420166,0.4837477440564672,20,0.45571955719557194,20.44835376739502,0.39544909203474127,20
800,0.6420664206642066,33.726495027542114,0.5596275186735211,20,0.44649446494464945,17.765426635742188,0.34760892868350635,20
1000,0.6125461254612546,30.25817346572876,0.5277105956987719,20,0.42435424354243545,15.710461854934692,0.3342976631349201,20
1200,0.5977859778597786,34.17524456977844,0.5144771497171379,20,0.4077490774907749,19.527374029159546,0.31058952636549725,20
1400,0.6051660516605166,28.842519998550415,0.5105880294565251,20,0.32656826568265684,18.305649757385254,0.26845468114590576,20
1600,0.5627306273062731,31.336241722106934,0.48972759328746646,20,0.45202952029520294,18.379674434661865,0.3857584355986831,20
1800,0.5885608856088561,28.432952642440796,0.5281390075861788,20,0.4095940959409594,17.37809920310974,0.3151308113105934,20
2000,0.6199261992619927,34.630786180496216,0.559212522343626,20,0.48523985239852396,18.35208535194397,0.3823392000409867,20
