,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.9504275982026381,0.948253370053631,28.10538339614868,16.253432273864746,0.9359955818727895,0.9343609132630686
400,0.9499927525728367,0.948253370053631,25.844836235046387,15.881080150604248,0.9362991065457491,0.9343609132630686
600,0.9499927525728367,0.948253370053631,31.34868860244751,18.181947469711304,0.9360933004608348,0.9343609132630686
800,0.9495579069430352,0.948253370053631,37.02655577659607,14.722584247589111,0.935658214480268,0.9342611926096241
1000,0.948398318596898,0.9481084215103638,45.499234676361084,19.52184796333313,0.9344630980012723,0.9341216601331135
1200,0.949268009856501,0.948253370053631,52.55784893035889,14.867183685302734,0.9355373786123963,0.934382351783652
1400,0.9494129583997681,0.948253370053631,62.539337396621704,14.55373501777649,0.9354239605962384,0.9342473528209215
1600,0.949268009856501,0.9481084215103638,72.14767479896545,14.80031418800354,0.9351709453682755,0.9341282489285778
1800,0.949268009856501,0.9479634729670967,84.17536687850952,15.569482326507568,0.9355778101097176,0.933939925638526
2000,0.9485432671401652,0.9478185244238295,96.13223123550415,12.973493099212646,0.9344502864518898,0.9336651293836145
