,# Layer,Setting,Accuracy
168,1,RI-original,0.8657718120805369
169,1,RI-retrain,0.8557046979865772
170,1,RI-ours,0.8590604026845637
171,1,NF-original,0.8590604026845637
172,1,NF-retrain,0.8657718120805369
173,1,NF-ours,0.825503355704698
174,2,RI-original,0.8489932885906041
175,2,RI-retrain,0.8590604026845637
176,2,RI-ours,0.8456375838926175
177,2,NF-original,0.8422818791946308
178,2,NF-retrain,0.8523489932885906
179,2,NF-ours,0.7248322147651006
180,3,RI-original,0.8120805369127517
181,3,RI-retrain,0.8389261744966443
182,3,RI-ours,0.5134228187919463
183,3,NF-original,0.8154362416107382
184,3,NF-retrain,0.8456375838926175
185,3,NF-ours,0.48322147651006714
186,4,RI-original,0.785234899328859
187,4,RI-retrain,0.7885906040268457
188,4,RI-ours,0.5134228187919463
189,4,NF-original,0.5134228187919463
190,4,NF-retrain,0.8087248322147651
191,4,NF-ours,0.5134228187919463
192,1,RI-original,0.8691275167785235
193,1,RI-retrain,0.8624161073825504
194,1,RI-ours,0.8221476510067114
195,1,NF-original,0.8557046979865772
196,1,NF-retrain,0.8657718120805369
197,1,NF-ours,0.7885906040268457
198,2,RI-original,0.8657718120805369
199,2,RI-retrain,0.8489932885906041
200,2,RI-ours,0.8657718120805369
201,2,NF-original,0.8624161073825504
202,2,NF-retrain,0.8691275167785235
203,2,NF-ours,0.7483221476510067
204,3,RI-original,0.802013422818792
205,3,RI-retrain,0.5134228187919463
206,3,RI-ours,0.5134228187919463
207,3,NF-original,0.8557046979865772
208,3,NF-retrain,0.8590604026845637
209,3,NF-ours,0.5134228187919463
210,4,RI-original,0.5033557046979866
211,4,RI-retrain,0.8422818791946308
212,4,RI-ours,0.4865771812080537
213,4,NF-original,0.8288590604026845
214,4,NF-retrain,0.8489932885906041
215,4,NF-ours,0.5134228187919463
216,1,RI-original,0.8590604026845637
217,1,RI-retrain,0.8691275167785235
218,1,RI-ours,0.7516778523489933
219,1,NF-original,0.8657718120805369
220,1,NF-retrain,0.8590604026845637
221,1,NF-ours,0.8691275167785235
222,2,RI-original,0.8489932885906041
223,2,RI-retrain,0.8624161073825504
224,2,RI-ours,0.4865771812080537
225,2,NF-original,0.8456375838926175
226,2,NF-retrain,0.8624161073825504
227,2,NF-ours,0.802013422818792
228,3,RI-original,0.8590604026845637
229,3,RI-retrain,0.8489932885906041
230,3,RI-ours,0.8288590604026845
231,3,NF-original,0.8590604026845637
232,3,NF-retrain,0.8456375838926175
233,3,NF-ours,0.761744966442953
234,4,RI-original,0.5134228187919463
235,4,RI-retrain,0.8422818791946308
236,4,RI-ours,0.5134228187919463
237,4,NF-original,0.802013422818792
238,4,NF-retrain,0.49328859060402686
239,4,NF-ours,0.5134228187919463
