,# Layer,Setting,Accuracy
168,4,RI-original,0.6846846846846847
169,4,RI-retrain,0.6561561561561562
170,4,RI-ours,0.6831831831831832
171,4,NF-original,0.7057057057057057
172,4,NF-retrain,0.6561561561561562
173,4,NF-ours,0.6786786786786787
174,5,RI-original,0.5555555555555556
175,5,RI-retrain,0.5930930930930931
176,5,RI-ours,0.5345345345345346
177,5,NF-original,0.6546546546546547
178,5,NF-retrain,0.6546546546546547
179,5,NF-ours,0.4984984984984985
180,1,RI-original,0.7027027027027027
181,1,RI-retrain,0.6681681681681682
182,1,RI-ours,0.6966966966966966
183,1,NF-original,0.7072072072072072
184,1,NF-retrain,0.6606606606606606
185,1,NF-ours,0.7102102102102102
186,2,RI-original,0.6981981981981982
187,2,RI-retrain,0.6801801801801802
188,2,RI-ours,0.5855855855855856
189,2,NF-original,0.7042042042042042
190,2,NF-retrain,0.6966966966966966
191,2,NF-ours,0.6096096096096096
192,3,RI-original,0.6756756756756757
193,3,RI-retrain,0.6606606606606606
194,3,RI-ours,0.545045045045045
195,3,NF-original,0.6831831831831832
196,3,NF-retrain,0.6471471471471472
197,3,NF-ours,0.5465465465465466
198,4,RI-original,0.6966966966966966
199,4,RI-retrain,0.5615615615615616
200,4,RI-ours,0.6996996996996997
201,4,NF-original,0.6741741741741741
202,4,NF-retrain,0.6501501501501501
203,4,NF-ours,0.5870870870870871
204,5,RI-original,0.6486486486486487
205,5,RI-retrain,0.5165165165165165
206,5,RI-ours,0.536036036036036
207,5,NF-original,0.6621621621621622
208,5,NF-retrain,0.6876876876876877
209,5,NF-ours,0.47297297297297297
210,1,RI-original,0.7087087087087087
211,1,RI-retrain,0.6921921921921922
212,1,RI-ours,0.6906906906906907
213,1,NF-original,0.7222222222222222
214,1,NF-retrain,0.6801801801801802
215,1,NF-ours,0.7012012012012012
216,2,RI-original,0.6906906906906907
217,2,RI-retrain,0.7012012012012012
218,2,RI-ours,0.6816816816816816
219,2,NF-original,0.6876876876876877
220,2,NF-retrain,0.6501501501501501
221,2,NF-ours,0.6141141141141141
222,3,RI-original,0.6966966966966966
223,3,RI-retrain,0.6696696696696697
224,3,RI-ours,0.5780780780780781
225,3,NF-original,0.7162162162162162
226,3,NF-retrain,0.527027027027027
227,3,NF-ours,0.7147147147147147
228,4,RI-original,0.5945945945945946
229,4,RI-retrain,0.6591591591591591
230,4,RI-ours,0.45345345345345345
231,4,NF-original,0.6636636636636637
232,4,NF-retrain,0.6711711711711712
233,4,NF-ours,0.5735735735735735
234,5,RI-original,0.56006006006006
235,5,RI-retrain,0.6501501501501501
236,5,RI-ours,0.43093093093093093
237,5,NF-original,0.6516516516516516
238,5,NF-retrain,0.6516516516516516
239,5,NF-ours,0.5840840840840841
240,1,RI-original,0.7102102102102102
241,1,RI-retrain,0.6711711711711712
242,1,RI-ours,0.6066066066066066
243,1,NF-original,0.6996996996996997
244,1,NF-retrain,0.6711711711711712
245,1,NF-ours,0.521021021021021
246,2,RI-original,0.7057057057057057
247,2,RI-retrain,0.6666666666666666
248,2,RI-ours,0.6981981981981982
249,2,NF-original,0.6996996996996997
250,2,NF-retrain,0.6756756756756757
251,2,NF-ours,0.6966966966966966
252,3,RI-original,0.6486486486486487
253,3,RI-retrain,0.6471471471471472
254,3,RI-ours,0.44294294294294295
255,3,NF-original,0.6981981981981982
256,3,NF-retrain,0.5855855855855856
257,3,NF-ours,0.6471471471471472
258,4,RI-original,0.6876876876876877
259,4,RI-retrain,0.5765765765765766
260,4,RI-ours,0.566066066066066
261,4,NF-original,0.6771771771771772
262,4,NF-retrain,0.6591591591591591
263,4,NF-ours,0.5915915915915916
264,5,RI-original,0.5945945945945946
265,5,RI-retrain,0.28378378378378377
266,5,RI-ours,0.4624624624624625
267,5,NF-original,0.5015015015015015
268,5,NF-retrain,0.4114114114114114
269,5,NF-ours,0.2807807807807808
270,1,RI-original,0.7072072072072072
271,1,RI-retrain,0.6636636636636637
272,1,RI-ours,0.6801801801801802
273,1,NF-original,0.7102102102102102
274,1,NF-retrain,0.6876876876876877
275,1,NF-ours,0.566066066066066
276,2,RI-original,0.7012012012012012
277,2,RI-retrain,0.6831831831831832
278,2,RI-ours,0.581081081081081
279,2,NF-original,0.7072072072072072
280,2,NF-retrain,0.6861861861861862
281,2,NF-ours,0.7057057057057057
282,3,RI-original,0.6756756756756757
283,3,RI-retrain,0.6801801801801802
284,3,RI-ours,0.5690690690690691
285,3,NF-original,0.7222222222222222
286,3,NF-retrain,0.6351351351351351
287,3,NF-ours,0.5990990990990991
288,4,RI-original,0.6846846846846847
289,4,RI-retrain,0.5885885885885885
290,4,RI-ours,0.5795795795795796
291,4,NF-original,0.6681681681681682
292,4,NF-retrain,0.6111111111111112
293,4,NF-ours,0.6621621621621622
294,5,RI-original,0.6876876876876877
295,5,RI-retrain,0.6441441441441441
296,5,RI-ours,0.6576576576576577
297,5,NF-original,0.6846846846846847
298,5,NF-retrain,0.6621621621621622
299,5,NF-ours,0.5555555555555556
