,# edges,setting,privacy leakage
167,100,saliency-U,0.65
168,200,saliency-O,0.925
169,200,saliency-R,0.78
170,200,saliency-U,0.05500000000000005
171,300,saliency-O,0.9166666666666666
172,300,saliency-R,0.7166666666666667
173,300,saliency-U,0.81
174,400,saliency-O,0.9125
175,400,saliency-R,0.7625
176,400,saliency-U,0.855
177,500,saliency-O,0.892
178,500,saliency-R,0.35
179,500,saliency-U,0.79
180,100,random-O,0.64
181,100,random-R,0.47
182,100,random-U,0.53
183,200,random-O,0.655
184,200,random-R,0.45999999999999996
185,200,random-U,0.43500000000000005
186,300,random-O,0.6533333333333333
187,300,random-R,0.44999999999999996
188,300,random-U,0.37
189,400,random-O,0.7475
190,400,random-R,0.4475
191,400,random-U,0.4325
192,500,random-O,0.762
193,500,random-R,0.388
194,500,random-U,0.372
195,100,max-degree-O,0.92
196,100,max-degree-R,0.86
197,100,max-degree-U,0.89
198,200,max-degree-O,0.87
199,200,max-degree-R,0.28
200,200,max-degree-U,0.235
201,300,max-degree-O,0.8833333333333333
202,300,max-degree-R,0.2533333333333333
203,300,max-degree-U,0.17666666666666664
204,400,max-degree-O,0.87
205,400,max-degree-R,0.135
206,400,max-degree-U,0.15249999999999997
207,500,max-degree-O,0.866
208,500,max-degree-R,0.06599999999999995
209,500,max-degree-U,0.062000000000000055
210,100,min-degree-O,0.78
211,100,min-degree-R,0.21999999999999997
212,100,min-degree-U,0.17000000000000004
213,200,min-degree-O,0.715
214,200,min-degree-R,0.010000000000000009
215,200,min-degree-U,0.010000000000000009
216,300,min-degree-O,0.8066666666666666
217,300,min-degree-R,0.00666666666666671
218,300,min-degree-U,0.18333333333333335
219,400,min-degree-O,0.73
220,400,min-degree-R,0.1875
221,400,min-degree-U,0.030000000000000027
222,500,min-degree-O,0.752
223,500,min-degree-R,0.018000000000000016
224,500,min-degree-U,0.22999999999999998
225,100,saliency-O,0.77
226,100,saliency-R,0.26
227,100,saliency-U,0.39
228,200,saliency-O,0.78
229,200,saliency-R,0.7050000000000001
230,200,saliency-U,0.64
231,300,saliency-O,0.77
232,300,saliency-R,0.3933333333333333
233,300,saliency-U,0.6166666666666667
234,400,saliency-O,0.78
235,400,saliency-R,0.6575
236,400,saliency-U,0.8674999999999999
237,500,saliency-O,0.798
238,500,saliency-R,0.29600000000000004
239,500,saliency-U,0.29800000000000004
240,100,random-O,0.66
241,100,random-R,0.43999999999999995
242,100,random-U,0.56
243,200,random-O,0.835
244,200,random-R,0.42000000000000004
245,200,random-U,0.405
246,300,random-O,0.7433333333333333
247,300,random-R,0.3833333333333333
248,300,random-U,0.3433333333333334
249,400,random-O,0.7825
250,400,random-R,0.36750000000000005
251,400,random-U,0.3425
252,500,random-O,0.668
253,500,random-R,0.388
254,500,random-U,0.39
255,100,max-degree-O,0.97
256,100,max-degree-R,0.76
257,100,max-degree-U,0.79
258,200,max-degree-O,0.9
259,200,max-degree-R,0.09499999999999997
260,200,max-degree-U,0.15000000000000002
