,retrain-acc,retrain-time,unlearn-acc,unlearn-time,blpa-acc,blpa-time,blpa-#-shards,bekm-acc,bekm-time,bekm-#-shards
200,0.8523489932885906,7.842030763626099,0.8523489932885906,0.963930606842041,0.7248322147651006,84.13263130187988,20,0.6677852348993288,52.35898208618164,17
400,0.8523489932885906,7.615391254425049,0.8523489932885906,0.816399335861206,0.7181208053691275,84.25983786582947,20,0.6241610738255033,58.649651527404785,19
600,0.8523489932885906,7.854721784591675,0.8523489932885906,1.2570850849151611,0.7214765100671141,84.70678091049194,20,0.6241610738255033,58.905460834503174,19
800,0.8523489932885906,7.756014823913574,0.8523489932885906,1.536081314086914,0.714765100671141,82.82231307029724,20,0.5973154362416108,63.84838628768921,20
1000,0.8523489932885906,8.169048547744751,0.8489932885906041,1.637136697769165,0.7046979865771812,81.59189462661743,20,0.5906040268456376,62.69044089317322,20
1200,0.8489932885906041,8.138320207595825,0.8489932885906041,2.375298261642456,0.7114093959731543,79.70745801925659,20,0.587248322147651,59.772528886795044,20
1400,0.8489932885906041,7.820866346359253,0.8489932885906041,2.265347480773926,0.7046979865771812,78.79481863975525,20,0.5906040268456376,62.91279983520508,20
1600,0.8489932885906041,7.8550801277160645,0.8489932885906041,2.5077970027923584,0.6946308724832215,76.79826164245605,20,0.587248322147651,59.00749397277832,20
1800,0.8489932885906041,7.666175127029419,0.8489932885906041,3.1170125007629395,0.7046979865771812,73.24110245704651,20,0.587248322147651,57.45152711868286,20
2000,0.8489932885906041,7.748724699020386,0.8489932885906041,3.0350043773651123,0.7046979865771812,72.88343286514282,20,0.587248322147651,54.302727460861206,20
