,# Layer,Setting,Accuracy
168,1,RI-original,0.6966966966966966
169,1,RI-retrain,0.6246246246246246
170,1,RI-ours,0.6561561561561562
171,1,NF-original,0.6951951951951952
172,1,NF-retrain,0.6381381381381381
173,1,NF-ours,0.46846846846846846
174,2,RI-original,0.6786786786786787
175,2,RI-retrain,0.43843843843843844
176,2,RI-ours,0.3033033033033033
177,2,NF-original,0.536036036036036
178,2,NF-retrain,0.6186186186186187
179,2,NF-ours,0.37237237237237236
180,3,RI-original,0.6606606606606606
181,3,RI-retrain,0.4159159159159159
182,3,RI-ours,0.24474474474474475
183,3,NF-original,0.6276276276276276
184,3,NF-retrain,0.5345345345345346
185,3,NF-ours,0.1966966966966967
186,4,RI-original,0.6036036036036037
187,4,RI-retrain,0.4219219219219219
188,4,RI-ours,0.15315315315315314
189,4,NF-original,0.6696696696696697
190,4,NF-retrain,0.48348348348348347
191,4,NF-ours,0.25675675675675674
192,1,RI-original,0.6996996996996997
193,1,RI-retrain,0.6411411411411412
194,1,RI-ours,0.5720720720720721
195,1,NF-original,0.7027027027027027
196,1,NF-retrain,0.6186186186186187
197,1,NF-ours,0.5705705705705706
198,2,RI-original,0.6681681681681682
199,2,RI-retrain,0.4264264264264264
200,2,RI-ours,0.2912912912912913
201,2,NF-original,0.5945945945945946
202,2,NF-retrain,0.5870870870870871
203,2,NF-ours,0.29429429429429427
204,3,RI-original,0.5405405405405406
205,3,RI-retrain,0.1891891891891892
206,3,RI-ours,0.23423423423423423
207,3,NF-original,0.6306306306306306
208,3,NF-retrain,0.35285285285285284
209,3,NF-ours,0.21171171171171171
210,4,RI-original,0.3108108108108108
211,4,RI-retrain,0.34384384384384387
212,4,RI-ours,0.22672672672672672
213,4,NF-original,0.551051051051051
214,4,NF-retrain,0.527027027027027
215,4,NF-ours,0.22522522522522523
216,1,RI-original,0.6861861861861862
217,1,RI-retrain,0.6216216216216216
218,1,RI-ours,0.6246246246246246
219,1,NF-original,0.6801801801801802
220,1,NF-retrain,0.6291291291291291
221,1,NF-ours,0.536036036036036
222,2,RI-original,0.6876876876876877
223,2,RI-retrain,0.5870870870870871
224,2,RI-ours,0.34684684684684686
225,2,NF-original,0.6231231231231231
226,2,NF-retrain,0.566066066066066
227,2,NF-ours,0.22672672672672672
228,3,RI-original,0.6066066066066066
229,3,RI-retrain,0.5420420420420421
230,3,RI-ours,0.1066066066066066
231,3,NF-original,0.6846846846846847
232,3,NF-retrain,0.36786786786786785
233,3,NF-ours,0.2912912912912913
234,4,RI-original,0.36936936936936937
235,4,RI-retrain,0.44894894894894893
236,4,RI-ours,0.08858858858858859
237,4,NF-original,0.6381381381381381
238,4,NF-retrain,0.5015015015015015
239,4,NF-ours,0.14864864864864866
