,model,# edges,Cosine Similarity
0,gcn,500,0.11006070673465729
1,gcn,1500,0.11919722706079483
2,gcn,2000,0.26358991861343384
3,gat,500,-0.05066470056772232
4,gat,1500,0.18951381742954254
5,gat,2000,0.10576829314231873
6,sage,500,0.15292896330356598
7,sage,1500,0.16206350922584534
8,sage,2000,0.06668931990861893
9,gin,500,0.16735999286174774
10,gin,1500,0.13727381825447083
11,gin,2000,0.09240731596946716
