,# Layer,Setting,Accuracy
168,4,RI-original,0.32732732732732733
169,4,RI-retrain,0.43843843843843844
170,4,RI-ours,0.25675675675675674
171,4,NF-original,0.35585585585585583
172,4,NF-retrain,0.3813813813813814
173,4,NF-ours,0.23123123123123124
174,5,RI-original,0.5225225225225225
175,5,RI-retrain,0.2852852852852853
176,5,RI-ours,0.4009009009009009
177,5,NF-original,0.36036036036036034
178,5,NF-retrain,0.34684684684684686
179,5,NF-ours,0.36186186186186187
180,1,RI-original,0.6396396396396397
181,1,RI-retrain,0.6636636636636637
182,1,RI-ours,0.3933933933933934
183,1,NF-original,0.6726726726726727
184,1,NF-retrain,0.6306306306306306
185,1,NF-ours,0.46846846846846846
186,2,RI-original,0.6666666666666666
187,2,RI-retrain,0.6651651651651652
188,2,RI-ours,0.56006006006006
189,2,NF-original,0.6456456456456456
190,2,NF-retrain,0.527027027027027
191,2,NF-ours,0.6081081081081081
192,3,RI-original,0.5705705705705706
193,3,RI-retrain,0.3663663663663664
194,3,RI-ours,0.4984984984984985
195,3,NF-original,0.5690690690690691
196,3,NF-retrain,0.3078078078078078
197,3,NF-ours,0.47297297297297297
198,4,RI-original,0.3993993993993994
199,4,RI-retrain,0.46996996996997
200,4,RI-ours,0.3738738738738739
201,4,NF-original,0.3138138138138138
202,4,NF-retrain,0.5495495495495496
203,4,NF-ours,0.3153153153153153
204,5,RI-original,0.36936936936936937
205,5,RI-retrain,0.3588588588588589
206,5,RI-ours,0.4189189189189189
207,5,NF-original,0.33483483483483484
208,5,NF-retrain,0.3483483483483483
209,5,NF-ours,0.2222222222222222
210,1,RI-original,0.5720720720720721
211,1,RI-retrain,0.6801801801801802
212,1,RI-ours,0.53003003003003
213,1,NF-original,0.6801801801801802
214,1,NF-retrain,0.6786786786786787
215,1,NF-ours,0.6126126126126126
216,2,RI-original,0.47147147147147145
217,2,RI-retrain,0.515015015015015
218,2,RI-ours,0.40540540540540543
219,2,NF-original,0.6426426426426426
220,2,NF-retrain,0.6336336336336337
221,2,NF-ours,0.5495495495495496
222,3,RI-original,0.6216216216216216
223,3,RI-retrain,0.32882882882882886
224,3,RI-ours,0.5780780780780781
225,3,NF-original,0.6696696696696697
226,3,NF-retrain,0.575075075075075
227,3,NF-ours,0.6501501501501501
228,4,RI-original,0.4924924924924925
229,4,RI-retrain,0.515015015015015
230,4,RI-ours,0.3588588588588589
231,4,NF-original,0.3993993993993994
232,4,NF-retrain,0.5
233,4,NF-ours,0.34384384384384387
234,5,RI-original,0.4159159159159159
235,5,RI-retrain,0.4114114114114114
236,5,RI-ours,0.27927927927927926
237,5,NF-original,0.3183183183183183
238,5,NF-retrain,0.43243243243243246
239,5,NF-ours,0.1996996996996997
240,1,RI-original,0.6981981981981982
241,1,RI-retrain,0.6711711711711712
242,1,RI-ours,0.37987987987987987
243,1,NF-original,0.6621621621621622
244,1,NF-retrain,0.6501501501501501
245,1,NF-ours,0.5525525525525525
246,2,RI-original,0.5795795795795796
247,2,RI-retrain,0.6546546546546547
248,2,RI-ours,0.56006006006006
249,2,NF-original,0.3333333333333333
250,2,NF-retrain,0.6171171171171171
251,2,NF-ours,0.3303303303303303
252,3,RI-original,0.2732732732732733
253,3,RI-retrain,0.4069069069069069
254,3,RI-ours,0.21621621621621623
255,3,NF-original,0.3813813813813814
256,3,NF-retrain,0.5255255255255256
257,3,NF-ours,0.3663663663663664
258,4,RI-original,0.43993993993993996
259,4,RI-retrain,0.35585585585585583
260,4,RI-ours,0.35435435435435436
261,4,NF-original,0.5525525525525525
262,4,NF-retrain,0.527027027027027
263,4,NF-ours,0.4744744744744745
264,5,RI-original,0.5675675675675675
265,5,RI-retrain,0.3918918918918919
266,5,RI-ours,0.26576576576576577
267,5,NF-original,0.6411411411411412
268,5,NF-retrain,0.32732732732732733
269,5,NF-ours,0.5825825825825826
270,1,RI-original,0.5945945945945946
271,1,RI-retrain,0.6456456456456456
272,1,RI-ours,0.46396396396396394
273,1,NF-original,0.6906906906906907
274,1,NF-retrain,0.6741741741741741
275,1,NF-ours,0.6531531531531531
276,2,RI-original,0.5675675675675675
277,2,RI-retrain,0.6426426426426426
278,2,RI-ours,0.5495495495495496
279,2,NF-original,0.6936936936936937
280,2,NF-retrain,0.6666666666666666
281,2,NF-ours,0.551051051051051
282,3,RI-original,0.35735735735735735
283,3,RI-retrain,0.3033033033033033
284,3,RI-ours,0.22522522522522523
285,3,NF-original,0.27627627627627627
286,3,NF-retrain,0.6276276276276276
287,3,NF-ours,0.2777777777777778
288,4,RI-original,0.56006006006006
289,4,RI-retrain,0.44894894894894893
290,4,RI-ours,0.37987987987987987
291,4,NF-original,0.3633633633633634
292,4,NF-retrain,0.36936936936936937
293,4,NF-ours,0.34234234234234234
294,5,RI-original,0.2627627627627628
295,5,RI-retrain,0.2852852852852853
296,5,RI-ours,0.17267267267267267
297,5,NF-original,0.43543543543543545
298,5,NF-retrain,0.3633633633633634
299,5,NF-ours,0.3123123123123123
