,# Layer,Setting,Accuracy
167,4,NF-ours,0.6696696696696697
168,1,RI-original,0.6906906906906907
169,1,RI-retrain,0.6366366366366366
170,1,RI-ours,0.6756756756756757
171,1,NF-original,0.6921921921921922
172,1,NF-retrain,0.6246246246246246
173,1,NF-ours,0.6846846846846847
174,2,RI-original,0.7267267267267268
175,2,RI-retrain,0.6336336336336337
176,2,RI-ours,0.6171171171171171
177,2,NF-original,0.7147147147147147
178,2,NF-retrain,0.6261261261261262
179,2,NF-ours,0.7087087087087087
180,3,RI-original,0.7132132132132132
181,3,RI-retrain,0.6291291291291291
182,3,RI-ours,0.5855855855855856
183,3,NF-original,0.6936936936936937
184,3,NF-retrain,0.6621621621621622
185,3,NF-ours,0.6951951951951952
186,4,RI-original,0.7087087087087087
187,4,RI-retrain,0.5495495495495496
188,4,RI-ours,0.5375375375375375
189,4,NF-original,0.6906906906906907
190,4,NF-retrain,0.6381381381381381
191,4,NF-ours,0.6816816816816816
192,1,RI-original,0.6861861861861862
193,1,RI-retrain,0.6096096096096096
194,1,RI-ours,0.6651651651651652
195,1,NF-original,0.6726726726726727
196,1,NF-retrain,0.6426426426426426
197,1,NF-ours,0.6531531531531531
198,2,RI-original,0.7042042042042042
199,2,RI-retrain,0.6276276276276276
200,2,RI-ours,0.6066066066066066
201,2,NF-original,0.7207207207207207
202,2,NF-retrain,0.6636636636636637
203,2,NF-ours,0.7162162162162162
204,3,RI-original,0.7072072072072072
205,3,RI-retrain,0.6186186186186187
206,3,RI-ours,0.5795795795795796
207,3,NF-original,0.7192192192192193
208,3,NF-retrain,0.6291291291291291
209,3,NF-ours,0.7087087087087087
210,4,RI-original,0.6891891891891891
211,4,RI-retrain,0.6171171171171171
212,4,RI-ours,0.6441441441441441
213,4,NF-original,0.6876876876876877
214,4,NF-retrain,0.6381381381381381
215,4,NF-ours,0.6756756756756757
216,1,RI-original,0.6786786786786787
217,1,RI-retrain,0.6186186186186187
218,1,RI-ours,0.6876876876876877
219,1,NF-original,0.6786786786786787
220,1,NF-retrain,0.6381381381381381
221,1,NF-ours,0.6711711711711712
222,2,RI-original,0.7207207207207207
223,2,RI-retrain,0.6231231231231231
224,2,RI-ours,0.6921921921921922
225,2,NF-original,0.7192192192192193
226,2,NF-retrain,0.6606606606606606
227,2,NF-ours,0.7117117117117117
228,3,RI-original,0.7147147147147147
229,3,RI-retrain,0.6291291291291291
230,3,RI-ours,0.5570570570570571
231,3,NF-original,0.7087087087087087
232,3,NF-retrain,0.6291291291291291
233,3,NF-ours,0.6981981981981982
234,4,RI-original,0.6906906906906907
235,4,RI-retrain,0.6276276276276276
236,4,RI-ours,0.6366366366366366
237,4,NF-original,0.7072072072072072
238,4,NF-retrain,0.6231231231231231
239,4,NF-ours,0.6936936936936937
