,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.9578199739092622,0.9583997680823307,15.266068458557129,23.48213529586792,0.9441652432334656,0.9442035718850349
400,0.9572401797361937,0.9583997680823307,14.266833066940308,25.342575073242188,0.9437070940200891,0.9442035718850349
600,0.956660385563125,0.9583997680823307,19.38381791114807,19.052679300308228,0.9428217709884257,0.9442035718850349
800,0.9569502826496594,0.9583997680823307,25.585103511810303,31.126564741134644,0.9432861125258954,0.9442035718850349
1000,0.9552109001304537,0.9583997680823307,32.46897792816162,25.79432725906372,0.9410784974287297,0.9442035718850349
1200,0.956660385563125,0.9582548195390637,39.95453453063965,23.534080505371094,0.9432504624779776,0.9438853702129268
1400,0.9568053341063922,0.9582548195390637,50.94023823738098,27.58223271369934,0.9428498552268432,0.9438853702129268
1600,0.9559356428467893,0.9581098709957965,59.2389132976532,24.13199758529663,0.94194632803903,0.9436294314681811
1800,0.9582548195390637,0.9581098709957965,70.22987484931946,21.754592180252075,0.9445536605800742,0.9436294314681811
2000,0.956515437019858,0.9581098709957965,81.55356931686401,26.93641448020935,0.9419965703361894,0.9436294314681811
