,# edges,type,Difference
0,100,Benign,0.0
1,500,Benign,0.012915129151291449
2,1000,Benign,0.0073800738007380184
3,1500,Benign,0.016605166051660514
4,2000,Benign,0.012915129151291449
5,100,Adversarial,0.009225092250922495
6,500,Adversarial,0.009225092250922606
7,1000,Adversarial,0.011070110701107083
8,1500,Adversarial,0.022140221402214055
9,2000,Adversarial,0.04981549815498154
