,# edges,setting,accuracy,privacy leakage
580,800,saliency-R,0.8389261744966443,1.0
581,800,saliency-U,0.825503355704698,1.0
582,1000,saliency-O,0.0,0.018
583,1000,saliency-R,0.8624161073825504,1.0
584,1000,saliency-U,0.825503355704698,1.0
585,1200,saliency-O,0.0,0.0
586,1200,saliency-R,0.8489932885906041,1.0
587,1200,saliency-U,0.825503355704698,0.9708333333333333
588,1400,saliency-O,0.0,0.005
589,1400,saliency-R,0.8389261744966443,0.9885714285714285
590,1400,saliency-U,0.825503355704698,0.89
591,1600,saliency-O,0.0,0.190625
592,1600,saliency-R,0.8456375838926175,0.999375
593,1600,saliency-U,0.825503355704698,0.94375
594,1800,saliency-O,0.0,0.45666666666666667
595,1800,saliency-R,0.8557046979865772,0.955
596,1800,saliency-U,0.825503355704698,0.9672222222222222
597,2000,saliency-O,0.0,0.21
598,2000,saliency-R,0.8456375838926175,1.0
599,2000,saliency-U,0.825503355704698,0.871
600,200,random-O,0.0,0.47
601,200,random-R,0.8590604026845637,0.825
602,200,random-U,0.8120805369127517,0.87
603,400,random-O,0.0,0.305
604,400,random-R,0.8187919463087249,0.87
605,400,random-U,0.8087248322147651,0.8725
606,600,random-O,0.0,0.43666666666666665
607,600,random-R,0.8154362416107382,0.88
608,600,random-U,0.8120805369127517,0.9066666666666666
609,800,random-O,0.0,0.345
610,800,random-R,0.8221476510067114,0.805
611,800,random-U,0.8120805369127517,0.8725
612,1000,random-O,0.0,0.472
613,1000,random-R,0.8221476510067114,0.887
614,1000,random-U,0.8087248322147651,0.859
615,1200,random-O,0.0,0.3308333333333333
616,1200,random-R,0.8389261744966443,0.8666666666666667
617,1200,random-U,0.8087248322147651,0.8841666666666667
618,1400,random-O,0.0,0.1657142857142857
619,1400,random-R,0.8389261744966443,0.8078571428571428
620,1400,random-U,0.8053691275167785,0.8457142857142858
621,1600,random-O,0.0,0.1775
622,1600,random-R,0.8557046979865772,0.851875
623,1600,random-U,0.802013422818792,0.850625
624,1800,random-O,0.0,0.3211111111111111
625,1800,random-R,0.8523489932885906,0.8505555555555555
626,1800,random-U,0.802013422818792,0.845
627,2000,random-O,0.0,0.1
628,2000,random-R,0.8389261744966443,0.843
629,2000,random-U,0.802013422818792,0.817
630,200,max-degree-O,0.0,0.545
631,200,max-degree-R,0.8657718120805369,0.61
632,200,max-degree-U,0.6308724832214765,0.635
633,400,max-degree-O,0.0,0.48
634,400,max-degree-R,0.8590604026845637,0.56
635,400,max-degree-U,0.5503355704697986,0.545
636,600,max-degree-O,0.0,0.47333333333333333
637,600,max-degree-R,0.8456375838926175,0.615
638,600,max-degree-U,0.5234899328859061,0.6383333333333333
639,800,max-degree-O,0.0,0.5
640,800,max-degree-R,0.8322147651006712,0.6625
641,800,max-degree-U,0.5234899328859061,0.57625
642,1000,max-degree-O,0.0,0.464
643,1000,max-degree-R,0.8087248322147651,0.705
644,1000,max-degree-U,0.5234899328859061,0.677
645,1200,max-degree-O,0.0,0.345
646,1200,max-degree-R,0.8355704697986577,0.755
647,1200,max-degree-U,0.5234899328859061,0.7641666666666667
648,1400,max-degree-O,0.0,0.33785714285714286
649,1400,max-degree-R,0.8489932885906041,0.7614285714285715
650,1400,max-degree-U,0.5234899328859061,0.71
651,1600,max-degree-O,0.0,0.28625
652,1600,max-degree-R,0.8624161073825504,0.819375
653,1600,max-degree-U,0.5234899328859061,0.754375
654,1800,max-degree-O,0.0,0.28944444444444445
655,1800,max-degree-R,0.8657718120805369,0.7588888888888888
