,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.8322147651006712,0.8288590604026845,9.684828281402588,0.6418025493621826,0.8311193725347961,0.827646038172354
400,0.8288590604026845,0.825503355704698,7.226871013641357,0.28513216972351074,0.827442520579052,0.8241648511256354
600,0.8154362416107382,0.8221476510067114,7.258785009384155,0.24617958068847656,0.8134171191785344,0.8206755606017598
800,0.8355704697986577,0.8221476510067114,3.790027618408203,0.25455355644226074,0.8347498387334065,0.8206755606017598
1000,0.8187919463087249,0.8221476510067114,5.247205018997192,0.45114731788635254,0.8169366581725519,0.8206755606017598
1200,0.8422818791946308,0.8221476510067114,2.812628984451294,0.345473051071167,0.8416381172054317,0.8206755606017598
1400,0.8389261744966443,0.8221476510067114,3.1078059673309326,0.39575862884521484,0.8380434782608697,0.8206755606017598
1600,0.8154362416107382,0.8288590604026845,5.693127870559692,0.3437643051147461,0.812854679774832,0.827222809590396
1800,0.825503355704698,0.8221476510067114,6.454051733016968,0.7147841453552246,0.824364147436188,0.8204472334959017
2000,0.8288590604026845,0.825503355704698,5.216391324996948,0.23193669319152832,0.827646038172354,0.8237167819439388
