,retrain-acc,retrain-time,unlearn-acc,unlearn-time,blpa-acc,blpa-time,blpa-#-shards,bekm-acc,bekm-time,bekm-#-shards
200,0.8624161073825504,2.4268627166748047,0.8624161073825504,2.752808094024658,0.7818791946308725,43.753926515579224,20,0.6510067114093959,51.01126217842102,17
400,0.8624161073825504,2.7040855884552,0.8624161073825504,3.6405107975006104,0.7751677852348994,45.13623595237732,20,0.6308724832214765,60.49943256378174,19
600,0.8456375838926175,2.287562847137451,0.8624161073825504,4.177987575531006,0.7818791946308725,53.43780565261841,20,0.6241610738255033,52.23380470275879,19
800,0.8557046979865772,2.379495859146118,0.8624161073825504,3.907107353210449,0.7718120805369127,49.57730054855347,20,0.6006711409395973,70.15772986412048,20
1000,0.8422818791946308,2.351999521255493,0.8624161073825504,3.4956650733947754,0.7818791946308725,47.40078902244568,20,0.6040268456375839,62.851757764816284,20
1200,0.8590604026845637,2.399449110031128,0.8624161073825504,3.9613723754882812,0.7785234899328859,46.97615146636963,20,0.6006711409395973,71.05726027488708,20
1400,0.8456375838926175,2.271564483642578,0.8624161073825504,4.348884344100952,0.7718120805369127,55.489147424697876,20,0.6006711409395973,61.02188277244568,20
1600,0.8557046979865772,2.5309555530548096,0.8624161073825504,4.609481573104858,0.7550335570469798,40.312801122665405,20,0.6040268456375839,56.86608052253723,20
1800,0.8557046979865772,2.3146657943725586,0.8624161073825504,4.979018211364746,0.7449664429530202,45.50443720817566,20,0.6040268456375839,63.44243311882019,20
2000,0.8557046979865772,2.4935812950134277,0.8624161073825504,5.343881845474243,0.7315436241610739,47.24518156051636,20,0.6006711409395973,54.88751029968262,20
