,# edges,setting,privacy leakage
161,400,min-degree-U,0.0050000000000000044
162,500,min-degree-O,0.848
163,500,min-degree-R,0.0040000000000000036
164,500,min-degree-U,0.0020000000000000018
165,100,saliency-O,0.82
166,100,saliency-R,0.020000000000000018
167,100,saliency-U,0.020000000000000018
168,200,saliency-O,0.85
169,200,saliency-R,0.010000000000000009
170,200,saliency-U,0.0050000000000000044
171,300,saliency-O,0.8566666666666667
172,300,saliency-R,0.00666666666666671
173,300,saliency-U,0.00666666666666671
174,400,saliency-O,0.8575
175,400,saliency-R,0.13249999999999995
176,400,saliency-U,0.0024999999999999467
177,500,saliency-O,0.916
178,500,saliency-R,0.0020000000000000018
179,500,saliency-U,0.20199999999999996
180,100,random-O,0.84
181,100,random-R,0.21999999999999997
182,100,random-U,0.33999999999999997
183,200,random-O,0.87
184,200,random-R,0.21999999999999997
185,200,random-U,0.22999999999999998
186,300,random-O,0.88
187,300,random-R,0.30333333333333334
188,300,random-U,0.30666666666666664
189,400,random-O,0.8625
190,400,random-R,0.1775
191,400,random-U,0.16249999999999998
192,500,random-O,0.892
193,500,random-R,0.17200000000000004
194,500,random-U,0.14200000000000002
195,100,max-degree-O,0.76
196,100,max-degree-R,0.14
197,100,max-degree-U,0.19999999999999996
198,200,max-degree-O,0.885
199,200,max-degree-R,0.235
200,200,max-degree-U,0.19999999999999996
201,300,max-degree-O,0.7766666666666666
202,300,max-degree-R,0.22999999999999998
203,300,max-degree-U,0.21333333333333337
204,400,max-degree-O,0.84
205,400,max-degree-R,0.1775
206,400,max-degree-U,0.1825
207,500,max-degree-O,0.74
208,500,max-degree-R,0.22399999999999998
209,500,max-degree-U,0.17600000000000005
210,100,min-degree-O,0.89
211,100,min-degree-R,0.020000000000000018
212,100,min-degree-U,0.020000000000000018
213,200,min-degree-O,0.86
214,200,min-degree-R,0.010000000000000009
215,200,min-degree-U,0.010000000000000009
216,300,min-degree-O,0.8666666666666667
217,300,min-degree-R,0.0033333333333332993
218,300,min-degree-U,0.0033333333333332993
219,400,min-degree-O,0.83
220,400,min-degree-R,0.0024999999999999467
221,400,min-degree-U,0.0050000000000000044
222,500,min-degree-O,0.886
223,500,min-degree-R,0.0040000000000000036
224,500,min-degree-U,0.0040000000000000036
225,100,saliency-O,0.89
226,100,saliency-R,0.010000000000000009
227,100,saliency-U,0.020000000000000018
228,200,saliency-O,0.82
229,200,saliency-R,0.0050000000000000044
230,200,saliency-U,0.0050000000000000044
231,300,saliency-O,0.86
232,300,saliency-R,0.0033333333333332993
233,300,saliency-U,0.00666666666666671
234,400,saliency-O,0.87
235,400,saliency-R,0.0050000000000000044
236,400,saliency-U,0.0050000000000000044
237,500,saliency-O,0.866
238,500,saliency-R,0.0020000000000000018
239,500,saliency-U,0.0020000000000000018
240,100,random-O,0.87
241,100,random-R,0.25
242,100,random-U,0.21999999999999997
243,200,random-O,0.835
244,200,random-R,0.29000000000000004
245,200,random-U,0.31999999999999995
246,300,random-O,0.9
247,300,random-R,0.21999999999999997
248,300,random-U,0.21333333333333337
249,400,random-O,0.895
250,400,random-R,0.19999999999999996
251,400,random-U,0.1825
252,500,random-O,0.888
253,500,random-R,0.23399999999999999
254,500,random-U,0.19199999999999995
255,100,max-degree-O,0.75
256,100,max-degree-R,0.14
257,100,max-degree-U,0.14
258,200,max-degree-O,0.865
259,200,max-degree-R,0.28
260,200,max-degree-U,0.19999999999999996
261,300,max-degree-O,0.8866666666666667
262,300,max-degree-R,0.22333333333333338
263,300,max-degree-U,0.20333333333333337
264,400,max-degree-O,0.7725
265,400,max-degree-R,0.25249999999999995
266,400,max-degree-U,0.23250000000000004
267,500,max-degree-O,0.726
268,500,max-degree-R,0.14200000000000002
269,500,max-degree-U,0.15400000000000003
270,100,min-degree-O,0.95
271,100,min-degree-R,0.020000000000000018
272,100,min-degree-U,0.020000000000000018
273,200,min-degree-O,0.915
274,200,min-degree-R,0.010000000000000009
275,200,min-degree-U,0.0050000000000000044
276,300,min-degree-O,0.89
277,300,min-degree-R,0.0033333333333332993
278,300,min-degree-U,0.0033333333333332993
279,400,min-degree-O,0.8825
280,400,min-degree-R,0.0050000000000000044
281,400,min-degree-U,0.0050000000000000044
282,500,min-degree-O,0.852
283,500,min-degree-R,0.0020000000000000018
284,500,min-degree-U,0.0020000000000000018
285,100,saliency-O,0.78
286,100,saliency-R,0.010000000000000009
287,100,saliency-U,0.020000000000000018
288,200,saliency-O,0.88
289,200,saliency-R,0.0050000000000000044
290,200,saliency-U,0.010000000000000009
291,300,saliency-O,0.93
292,300,saliency-R,0.15333333333333332
293,300,saliency-U,0.18999999999999995
294,400,saliency-O,0.8875
295,400,saliency-R,0.0050000000000000044
296,400,saliency-U,0.0050000000000000044
297,500,saliency-O,0.908
298,500,saliency-R,0.0040000000000000036
299,500,saliency-U,0.0040000000000000036
300,100,random-O,0.9
301,100,random-R,0.31999999999999995
302,100,random-U,0.31000000000000005
303,200,random-O,0.935
304,200,random-R,0.22499999999999998
305,200,random-U,0.21999999999999997
306,300,random-O,0.9166666666666666
307,300,random-R,0.29333333333333333
308,300,random-U,0.3466666666666667
309,400,random-O,0.8975
310,400,random-R,0.21999999999999997
311,400,random-U,0.1875
312,500,random-O,0.878
313,500,random-R,0.236
314,500,random-U,0.246
315,100,max-degree-O,0.86
316,100,max-degree-R,0.27
317,100,max-degree-U,0.16000000000000003
318,200,max-degree-O,0.89
319,200,max-degree-R,0.275
320,200,max-degree-U,0.24
321,300,max-degree-O,0.7933333333333333
322,300,max-degree-R,0.3433333333333334
323,300,max-degree-U,0.31333333333333335
324,400,max-degree-O,0.7825
325,400,max-degree-R,0.38249999999999995
326,400,max-degree-U,0.2975
327,500,max-degree-O,0.798
328,500,max-degree-R,0.31799999999999995
329,500,max-degree-U,0.22399999999999998
330,100,min-degree-O,0.88
331,100,min-degree-R,0.020000000000000018
332,100,min-degree-U,0.020000000000000018
333,200,min-degree-O,0.89
334,200,min-degree-R,0.010000000000000009
335,200,min-degree-U,0.0050000000000000044
336,300,min-degree-O,0.79
337,300,min-degree-R,0.00666666666666671
338,300,min-degree-U,0.0033333333333332993
339,400,min-degree-O,0.88
340,400,min-degree-R,0.0050000000000000044
341,400,min-degree-U,0.0050000000000000044
342,500,min-degree-O,0.842
343,500,min-degree-R,0.0020000000000000018
344,500,min-degree-U,0.0020000000000000018
345,100,saliency-O,0.9
346,100,saliency-R,0.020000000000000018
347,100,saliency-U,0.020000000000000018
348,200,saliency-O,0.88
349,200,saliency-R,0.010000000000000009
350,200,saliency-U,0.0050000000000000044
351,300,saliency-O,0.8966666666666666
352,300,saliency-R,0.00666666666666671
353,300,saliency-U,0.00666666666666671
354,400,saliency-O,0.845
355,400,saliency-R,0.0024999999999999467
356,400,saliency-U,0.0024999999999999467
357,500,saliency-O,0.902
358,500,saliency-R,0.030000000000000027
359,500,saliency-U,0.0040000000000000036
360,100,random-O,0.84
361,100,random-R,0.24
362,100,random-U,0.20999999999999996
363,200,random-O,0.855
364,200,random-R,0.22999999999999998
365,200,random-U,0.21499999999999997
366,300,random-O,0.85
367,300,random-R,0.25
368,300,random-U,0.19666666666666666
369,400,random-O,0.865
370,400,random-R,0.28500000000000003
371,400,random-U,0.24
372,500,random-O,0.902
373,500,random-R,0.35
374,500,random-U,0.30600000000000005
375,100,max-degree-O,0.79
376,100,max-degree-R,0.14
377,100,max-degree-U,0.12
378,200,max-degree-O,0.8
379,200,max-degree-R,0.255
380,200,max-degree-U,0.17500000000000004
381,300,max-degree-O,0.7966666666666666
382,300,max-degree-R,0.32333333333333336
383,300,max-degree-U,0.22666666666666668
384,400,max-degree-O,0.79
385,400,max-degree-R,0.16249999999999998
386,400,max-degree-U,0.17000000000000004
387,500,max-degree-O,0.774
388,500,max-degree-R,0.26
389,500,max-degree-U,0.246
390,100,min-degree-O,0.85
391,100,min-degree-R,0.020000000000000018
392,100,min-degree-U,0.020000000000000018
393,200,min-degree-O,0.855
394,200,min-degree-R,0.010000000000000009
395,200,min-degree-U,0.0050000000000000044
396,300,min-degree-O,0.8666666666666667
397,300,min-degree-R,0.00666666666666671
398,300,min-degree-U,0.00666666666666671
399,400,min-degree-O,0.855
400,400,min-degree-R,0.235
401,400,min-degree-U,0.0024999999999999467
402,500,min-degree-O,0.86
403,500,min-degree-R,0.0040000000000000036
404,500,min-degree-U,0.0040000000000000036
405,100,saliency-O,0.77
406,100,saliency-R,0.020000000000000018
407,100,saliency-U,0.020000000000000018
408,200,saliency-O,0.88
409,200,saliency-R,0.010000000000000009
410,200,saliency-U,0.010000000000000009
411,300,saliency-O,0.8566666666666667
412,300,saliency-R,0.0033333333333332993
413,300,saliency-U,0.0033333333333332993
414,400,saliency-O,0.8675
415,400,saliency-R,0.0024999999999999467
416,400,saliency-U,0.0024999999999999467
417,500,saliency-O,0.84
418,500,saliency-R,0.0040000000000000036
419,500,saliency-U,0.0040000000000000036
420,100,random-O,0.71
421,100,random-R,0.32999999999999996
422,100,random-U,0.28
423,200,random-O,0.72
424,200,random-R,0.405
425,200,random-U,0.42000000000000004
426,300,random-O,0.86
427,300,random-R,0.2366666666666667
428,300,random-U,0.2366666666666667
429,400,random-O,0.785
430,400,random-R,0.28
431,400,random-U,0.36250000000000004
432,500,random-O,0.668
433,500,random-R,0.252
434,500,random-U,0.238
435,100,max-degree-O,0.79
436,100,max-degree-R,0.21999999999999997
437,100,max-degree-U,0.39
438,200,max-degree-O,0.88
439,200,max-degree-R,0.41500000000000004
440,200,max-degree-U,0.30000000000000004
441,300,max-degree-O,0.8133333333333334
442,300,max-degree-R,0.30666666666666664
443,300,max-degree-U,0.25
444,400,max-degree-O,0.7925
445,400,max-degree-R,0.22999999999999998
446,400,max-degree-U,0.25
447,500,max-degree-O,0.816
448,500,max-degree-R,0.30200000000000005
449,500,max-degree-U,0.28
450,100,min-degree-O,0.85
451,100,min-degree-R,0.19999999999999996
452,100,min-degree-U,0.020000000000000018
453,200,min-degree-O,0.85
454,200,min-degree-R,0.010000000000000009
455,200,min-degree-U,0.010000000000000009
456,300,min-degree-O,0.8633333333333333
457,300,min-degree-R,0.00666666666666671
458,300,min-degree-U,0.00666666666666671
459,400,min-degree-O,0.8475
460,400,min-degree-R,0.0050000000000000044
461,400,min-degree-U,0.0024999999999999467
462,500,min-degree-O,0.89
463,500,min-degree-R,0.0040000000000000036
464,500,min-degree-U,0.0040000000000000036
465,100,saliency-O,0.84
