,# Layer,Setting,Accuracy
167,4,NF-ours,0.8450184501845018
168,1,RI-original,0.8782287822878229
169,1,RI-retrain,0.8468634686346863
170,1,RI-ours,0.8726937269372693
171,1,NF-original,0.8800738007380073
172,1,NF-retrain,0.8450184501845018
173,1,NF-ours,0.8726937269372693
174,2,RI-original,0.8856088560885609
175,2,RI-retrain,0.8487084870848709
176,2,RI-ours,0.8376383763837638
177,2,NF-original,0.8837638376383764
178,2,NF-retrain,0.8487084870848709
179,2,NF-ours,0.8579335793357934
180,3,RI-original,0.8837638376383764
181,3,RI-retrain,0.8247232472324724
182,3,RI-ours,0.8173431734317343
183,3,NF-original,0.8892988929889298
184,3,NF-retrain,0.8560885608856088
185,3,NF-ours,0.8745387453874539
186,4,RI-original,0.8763837638376384
187,4,RI-retrain,0.8284132841328413
188,4,RI-ours,0.8062730627306273
189,4,NF-original,0.8892988929889298
190,4,NF-retrain,0.8431734317343174
191,4,NF-ours,0.8671586715867159
192,1,RI-original,0.8763837638376384
193,1,RI-retrain,0.8357933579335793
194,1,RI-ours,0.8690036900369004
195,1,NF-original,0.8800738007380073
196,1,NF-retrain,0.8413284132841329
197,1,NF-ours,0.8708487084870848
198,2,RI-original,0.8856088560885609
199,2,RI-retrain,0.8523985239852399
200,2,RI-ours,0.8154981549815498
201,2,NF-original,0.8763837638376384
202,2,NF-retrain,0.8431734317343174
203,2,NF-ours,0.8579335793357934
204,3,RI-original,0.8874538745387454
205,3,RI-retrain,0.8450184501845018
206,3,RI-ours,0.8653136531365314
207,3,NF-original,0.8856088560885609
208,3,NF-retrain,0.8228782287822878
209,3,NF-ours,0.8708487084870848
210,4,RI-original,0.8099630996309963
211,4,RI-retrain,0.8099630996309963
212,4,RI-ours,0.7453874538745388
213,4,NF-original,0.8745387453874539
214,4,NF-retrain,0.8376383763837638
215,4,NF-ours,0.8505535055350554
216,1,RI-original,0.8819188191881919
217,1,RI-retrain,0.8265682656826568
218,1,RI-ours,0.8616236162361623
219,1,NF-original,0.8782287822878229
220,1,NF-retrain,0.8321033210332104
221,1,NF-ours,0.8487084870848709
222,2,RI-original,0.8856088560885609
223,2,RI-retrain,0.8450184501845018
224,2,RI-ours,0.7564575645756457
225,2,NF-original,0.8782287822878229
226,2,NF-retrain,0.8284132841328413
227,2,NF-ours,0.8523985239852399
228,3,RI-original,0.8874538745387454
229,3,RI-retrain,0.8376383763837638
230,3,RI-ours,0.8394833948339483
231,3,NF-original,0.8892988929889298
232,3,NF-retrain,0.8376383763837638
233,3,NF-ours,0.8671586715867159
234,4,RI-original,0.8708487084870848
235,4,RI-retrain,0.7933579335793358
236,4,RI-ours,0.8173431734317343
237,4,NF-original,0.8763837638376384
238,4,NF-retrain,0.8431734317343174
239,4,NF-ours,0.8560885608856088
