# edges,partition,running time,accuracy,f1,# shards
100,bekm,8.337167,0.728188,0.71183,14
100,blpa,12.427095,0.61745,0.540422,20
100,bekm,5.479188,0.775168,0.767824,9
100,blpa,12.685354,0.61745,0.540422,20
100,bekm,6.452582,0.765101,0.755852,10
100,blpa,12.436345,0.61745,0.540422,20
100,bekm,7.106683,0.674497,0.645669,12
100,blpa,11.391652,0.620805,0.545946,20
100,bekm,11.017895,0.674497,0.64262,17
100,blpa,12.448714,0.61745,0.540422,20
100,bekm,6.990601,0.761745,0.751325,11
100,blpa,12.507042,0.61745,0.540422,20
100,bekm,6.962759,0.718121,0.700646,11
