,model,# edges,Cosine Similarity
0,gcn,500,0.10605533421039581
1,gcn,1500,0.24591031670570374
2,gcn,2000,0.11037957668304443
3,gat,500,0.15262790024280548
4,gat,1500,0.1546747386455536
5,gat,2000,0.029686683788895607
6,sage,500,0.13194063305854797
7,sage,1500,-0.007329494692385197
8,sage,2000,0.03487241640686989
9,gin,500,0.43255701661109924
10,gin,1500,0.2494925558567047
11,gin,2000,0.36747753620147705
