,retrain-acc,retrain-time,retrain-f1,unlearn-acc,unlearn-time,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.7792792792792793,5.0707151889801025,0.7408479708996089,0.7642642642642643,3.5564918518066406,0.7233220208365458,0.7612612612612613,358.32666969299316,0.7132322113193988,8,0.515015015015015,675.6472742557526,0.45171674890348107,19
400,0.7612612612612613,4.801721811294556,0.7158621128996886,0.7597597597597597,2.7951574325561523,0.7082006813737625,0.7372372372372372,413.8839223384857,0.6916544796896072,9,0.5255255255255256,701.8671481609344,0.4684792845826428,19
600,0.7597597597597597,4.464788198471069,0.7111567996473722,0.7552552552552553,3.5429844856262207,0.70110815892754,0.6651651651651652,645.6888422966003,0.6119321323829628,14,0.5135135135135135,711.2467150688171,0.45339732425678236,20
800,0.7672672672672672,5.025753498077393,0.7300971979394474,0.7612612612612613,2.727389097213745,0.7061078772656106,0.6576576576576577,670.0021953582764,0.605582590502112,15,0.5,727.2138152122498,0.444545876307415,20
1000,0.7552552552552553,4.984315395355225,0.7144041327957832,0.7537537537537538,3.719773054122925,0.7003012959639493,0.6306306306306306,739.2153460979462,0.5822549403188392,17,0.4984984984984985,677.6836705207825,0.440802546597242,20
1200,0.7672672672672672,5.182602405548096,0.729176980083334,0.7492492492492493,3.5547878742218018,0.6968158172173419,0.6081081081081081,791.572900056839,0.5564127252940537,19,0.5045045045045045,684.9648952484131,0.44019274473833003,20
1400,0.7612612612612613,4.907206773757935,0.7227362373087094,0.7582582582582582,3.538893938064575,0.7062673728329233,0.6096096096096096,813.2396430969238,0.5575119342209625,19,0.5045045045045045,738.196991443634,0.4412247182331033,20
1600,0.7522522522522522,5.387852668762207,0.7140741060610388,0.7507507507507507,5.619879245758057,0.6973036112224683,0.6051051051051051,913.0488004684448,0.5557766905208499,20,0.4984984984984985,710.4226260185242,0.43805167865711153,20
1800,0.7522522522522522,5.034755229949951,0.7059125570323972,0.7477477477477478,3.292966604232788,0.6970533262303107,0.6096096096096096,880.7825901508331,0.5553077742869977,20,0.49099099099099097,672.7146816253662,0.4364357384912767,20
2000,0.7582582582582582,5.062954902648926,0.7125622804995811,0.7552552552552553,3.325392961502075,0.7057079888706829,0.6096096096096096,874.5807063579559,0.561870389348172,20,0.506006006006006,744.5864658355713,0.4501213305950434,20
