,# edges,JSD
0,200,0.013646233
1,400,0.013853928
2,600,0.017217327
3,800,0.018270804
4,1000,0.019593582
5,1200,0.021702886
6,1400,0.023189735
7,1600,0.02637949
8,1800,0.026587155
9,2000,0.030379977
10,100,0.012764
