,model,setting,Accuracy,TPR,TNR
0,gcn,original,0.833,0.78,0.886
1,gcn,retrain,0.49,0.482,0.498
2,gcn,unlearn,0.483,0.564,0.402
3,gat,original,0.738,0.756,0.72
4,gat,retrain,0.491,0.288,0.694
5,gat,unlearn,0.506,0.562,0.45
6,sage,original,0.781,0.71,0.852
7,sage,retrain,0.456,0.356,0.556
8,sage,unlearn,0.49,0.34,0.64
9,gin,original,0.861,0.866,0.856
10,gin,retrain,0.508,0.232,0.784
11,gin,unlearn,0.512,0.246,0.778
