,# Layer,Setting,Accuracy
167,4,NF-ours,0.7564575645756457
168,1,RI-original,0.8450184501845018
169,1,RI-retrain,0.8191881918819188
170,1,RI-ours,0.8044280442804428
171,1,NF-original,0.8302583025830258
172,1,NF-retrain,0.8284132841328413
173,1,NF-ours,0.8302583025830258
174,2,RI-original,0.8357933579335793
175,2,RI-retrain,0.8265682656826568
176,2,RI-ours,0.8339483394833949
177,2,NF-original,0.8247232472324724
178,2,NF-retrain,0.8302583025830258
179,2,NF-ours,0.8173431734317343
180,3,RI-original,0.8413284132841329
181,3,RI-retrain,0.8302583025830258
182,3,RI-ours,0.8431734317343174
183,3,NF-original,0.8302583025830258
184,3,NF-retrain,0.8118081180811808
185,3,NF-ours,0.8191881918819188
186,4,RI-original,0.8081180811808119
187,4,RI-retrain,0.7970479704797048
188,4,RI-ours,0.7878228782287823
189,4,NF-original,0.8505535055350554
190,4,NF-retrain,0.7675276752767528
191,4,NF-ours,0.8450184501845018
192,1,RI-original,0.8394833948339483
193,1,RI-retrain,0.8450184501845018
194,1,RI-ours,0.8284132841328413
195,1,NF-original,0.8321033210332104
196,1,NF-retrain,0.8450184501845018
197,1,NF-ours,0.8321033210332104
198,2,RI-original,0.8394833948339483
199,2,RI-retrain,0.8431734317343174
200,2,RI-ours,0.8376383763837638
201,2,NF-original,0.8468634686346863
202,2,NF-retrain,0.8191881918819188
203,2,NF-ours,0.8394833948339483
204,3,RI-original,0.8228782287822878
205,3,RI-retrain,0.8136531365313653
206,3,RI-ours,0.8007380073800738
207,3,NF-original,0.8154981549815498
208,3,NF-retrain,0.8210332103321033
209,3,NF-ours,0.8044280442804428
210,4,RI-original,0.8505535055350554
211,4,RI-retrain,0.8210332103321033
212,4,RI-ours,0.8523985239852399
213,4,NF-original,0.8321033210332104
214,4,NF-retrain,0.8062730627306273
215,4,NF-ours,0.7952029520295203
216,1,RI-original,0.8487084870848709
217,1,RI-retrain,0.8302583025830258
218,1,RI-ours,0.8154981549815498
219,1,NF-original,0.8357933579335793
220,1,NF-retrain,0.8228782287822878
221,1,NF-ours,0.8191881918819188
222,2,RI-original,0.8523985239852399
223,2,RI-retrain,0.8284132841328413
224,2,RI-ours,0.8450184501845018
225,2,NF-original,0.8357933579335793
226,2,NF-retrain,0.8357933579335793
227,2,NF-ours,0.8357933579335793
228,3,RI-original,0.8247232472324724
229,3,RI-retrain,0.8099630996309963
230,3,RI-ours,0.8154981549815498
231,3,NF-original,0.8394833948339483
232,3,NF-retrain,0.8284132841328413
233,3,NF-ours,0.8062730627306273
234,4,RI-original,0.8118081180811808
235,4,RI-retrain,0.8099630996309963
236,4,RI-ours,0.7583025830258303
237,4,NF-original,0.8265682656826568
238,4,NF-retrain,0.8228782287822878
239,4,NF-ours,0.8118081180811808
