,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1
200,0.6906906906906907,0.6831831831831832,6.009298801422119,3.9363455772399902,0.6499070449665619,0.6473859442269055
400,0.6831831831831832,0.6801801801801802,2.6280457973480225,3.3159403800964355,0.6487024664450246,0.6467579220701531
600,0.6801801801801802,0.6816816816816816,2.6732170581817627,3.8802073001861572,0.6408081459134914,0.6481635597201078
800,0.6621621621621622,0.6801801801801802,2.726334810256958,3.031341314315796,0.6303121310383427,0.6465626987369252
1000,0.6981981981981982,0.6771771771771772,2.9129927158355713,3.8827641010284424,0.6583790203420856,0.644443602221569
1200,0.6891891891891891,0.6771771771771772,2.8341257572174072,3.2881240844726562,0.6514380705220245,0.6444201921586312
1400,0.6756756756756757,0.6756756756756757,2.9391298294067383,4.356189727783203,0.6404105602558862,0.6439398091940352
1600,0.6441441441441441,0.6726726726726727,2.9462249279022217,3.9496872425079346,0.6146308015653972,0.6413169699490157
1800,0.6756756756756757,0.6726726726726727,3.1530098915100098,3.7225236892700195,0.6374837844242702,0.6413169699490157
2000,0.6666666666666666,0.6681681681681682,3.2109451293945312,4.631756782531738,0.6301962079603737,0.6377260514897359
