,# Layer,Setting,Accuracy
0,1,RI-original,0.8062730627306273
1,1,RI-retrain,0.7693726937269373
2,1,RI-ours,0.6863468634686347
3,1,NF-original,0.8044280442804428
4,1,NF-retrain,0.8154981549815498
5,1,NF-ours,0.7306273062730627
6,2,RI-original,0.8025830258302583
7,2,RI-retrain,0.8228782287822878
8,2,RI-ours,0.7214022140221402
9,2,NF-original,0.7656826568265682
10,2,NF-retrain,0.7453874538745388
11,2,NF-ours,0.6623616236162362
12,3,RI-original,0.7822878228782287
13,3,RI-retrain,0.6863468634686347
14,3,RI-ours,0.34870848708487084
15,3,NF-original,0.4833948339483395
16,3,NF-retrain,0.6107011070110702
17,3,NF-ours,0.23800738007380073
18,4,RI-original,0.37453874538745385
19,4,RI-retrain,0.7398523985239852
20,4,RI-ours,0.11992619926199262
21,4,NF-original,0.7361623616236163
22,4,NF-retrain,0.5811808118081181
23,4,NF-ours,0.3966789667896679
24,1,RI-original,0.8210332103321033
25,1,RI-retrain,0.7656826568265682
26,1,RI-ours,0.6605166051660517
27,1,NF-original,0.8191881918819188
28,1,NF-retrain,0.7915129151291513
29,1,NF-ours,0.7693726937269373
30,2,RI-original,0.7933579335793358
31,2,RI-retrain,0.6420664206642066
32,2,RI-ours,0.544280442804428
33,2,NF-original,0.7564575645756457
34,2,NF-retrain,0.8210332103321033
35,2,NF-ours,0.5424354243542435
36,3,RI-original,0.46863468634686345
37,3,RI-retrain,0.6715867158671587
38,3,RI-ours,0.23616236162361623
39,3,NF-original,0.7970479704797048
40,3,NF-retrain,0.4575645756457565
41,3,NF-ours,0.5811808118081181
42,4,RI-original,0.7177121771217713
43,4,RI-retrain,0.6291512915129152
44,4,RI-ours,0.43357933579335795
45,4,NF-original,0.6439114391143912
46,4,NF-retrain,0.6918819188191881
47,4,NF-ours,0.3154981549815498
48,1,RI-original,0.8099630996309963
49,1,RI-retrain,0.7693726937269373
50,1,RI-ours,0.6992619926199262
51,1,NF-original,0.8210332103321033
52,1,NF-retrain,0.7675276752767528
53,1,NF-ours,0.7214022140221402
54,2,RI-original,0.7564575645756457
55,2,RI-retrain,0.7675276752767528
56,2,RI-ours,0.7287822878228782
57,2,NF-original,0.7601476014760148
58,2,NF-retrain,0.7896678966789668
59,2,NF-ours,0.5608856088560885
60,3,RI-original,0.6457564575645757
61,3,RI-retrain,0.7361623616236163
62,3,RI-ours,0.4907749077490775
63,3,NF-original,0.5977859778597786
64,3,NF-retrain,0.6642066420664207
65,3,NF-ours,0.466789667896679
66,4,RI-original,0.7564575645756457
67,4,RI-retrain,0.6623616236162362
68,4,RI-ours,0.5811808118081181
69,4,NF-original,0.7398523985239852
70,4,NF-retrain,0.6494464944649446
71,4,NF-ours,0.43726937269372695
72,1,RI-original,0.6845018450184502
73,1,RI-retrain,0.7767527675276753
74,1,RI-ours,0.6199261992619927
75,1,NF-original,0.7933579335793358
76,1,NF-retrain,0.8173431734317343
77,1,NF-ours,0.6476014760147601
78,2,RI-original,0.7656826568265682
79,2,RI-retrain,0.7564575645756457
80,2,RI-ours,0.6033210332103321
81,2,NF-original,0.7656826568265682
82,2,NF-retrain,0.7361623616236163
83,2,NF-ours,0.6549815498154982
84,3,RI-original,0.7232472324723247
85,3,RI-retrain,0.6771217712177122
86,3,RI-ours,0.42988929889298894
87,3,NF-original,0.7250922509225092
88,3,NF-retrain,0.7343173431734318
89,3,NF-ours,0.4261992619926199
