# edges,partition,running time,accuracy,f1,# shards,setting
1000,blpa,231.5939069,0.641141141,0.585838315,19,BLPA
1000,bekm,245.5534098,0.487987988,0.423820153,20,BEKM
200,blpa,112.0164206,0.75975976,0.688191527,9,BLPA
200,bekm,249.5267239,0.501501502,0.439000165,20,BEKM
400,blpa,197.9339414,0.701201201,0.640972717,16,BLPA
400,bekm,248.5436227,0.478978979,0.424399395,20,BEKM
800,blpa,226.6364267,0.657657658,0.603326718,18,BLPA
800,bekm,247.8955555,0.5,0.441052395,20,BEKM
1000,blpa,225.4795649,0.654654655,0.601275169,18,BLPA
1000,bekm,255.5439382,0.506006006,0.439955465,20,BEKM
200,blpa,106.7760043,0.783783784,0.71362574,8,BLPA
200,bekm,259.6048779,0.524024024,0.457712179,18,BEKM
400,blpa,212.3293872,0.725225225,0.668326963,14,BLPA
400,bekm,285.527602,0.506006006,0.442115211,20,BEKM
800,blpa,247.7549298,0.642642643,0.590620069,19,BLPA
800,bekm,260.1519864,0.5,0.436705849,20,BEKM
1000,blpa,268.3695328,0.621621622,0.569765365,20,BLPA
1000,bekm,266.8313322,0.487987988,0.430066065,20,BEKM
