# edges,partition,running time,accuracy,f1,# shards
100,blpa,17.439167,0.620805,0.545946,20
100,bekm,11.372933,0.684564,0.657337,14
100,blpa,15.570846,0.61745,0.540422,20
100,bekm,11.217315,0.748322,0.734923,14
100,blpa,14.962982,0.620805,0.545946,20
100,bekm,8.052574,0.832215,0.830928,10
100,blpa,16.705056,0.620805,0.545946,20
100,bekm,6.777449,0.714765,0.685431,8
100,blpa,16.66004,0.620805,0.545946,20
100,bekm,11.119461,0.761745,0.751325,14
100,blpa,15.203172,0.620805,0.545946,20
100,bekm,12.555301,0.697987,0.67453,16
100,blpa,16.362221,0.61745,0.540422,20
100,bekm,14.660375,0.691275,0.664628,17
