,# edges,type,Difference
0,1,Benign,0.040590405904059046
1,500,Benign,0.04981549815498154
2,1000,Benign,0.0627306273062731
3,1500,Benign,0.011070110701106972
4,2000,Benign,0.07933579335793361
5,1,Adversarial,0.0
6,500,Adversarial,0.016605166051660514
7,1000,Adversarial,0.22878228782287824
8,1500,Adversarial,0.22509225092250928
9,2000,Adversarial,0.03874538745387457
