,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.6510067114093959,34.6566424369812,0.5936008392341988,20,0.5503355704697986,6.775160789489746,0.4561747562237838,19
400,0.6442953020134228,33.6264386177063,0.5833157450401014,20,0.5234899328859061,9.030856847763062,0.4071728775567386,19
600,0.6543624161073825,29.12414002418518,0.5986820600656355,20,0.5,8.018314123153687,0.3557738345690118,20
800,0.6610738255033557,28.62687635421753,0.6087256087256088,20,0.587248322147651,11.271808385848999,0.5427109974424553,20
1000,0.6442953020134228,31.625054359436035,0.5833157450401014,20,0.4899328859060403,8.506216526031494,0.33454780513604043,20
1200,0.6442953020134228,28.417665004730225,0.5833157450401014,20,0.587248322147651,11.556283712387085,0.5150240146072322,20
1400,0.6476510067114094,32.58925771713257,0.588478989938844,20,0.5637583892617449,8.551291704177856,0.47932906832965966,20
1600,0.6476510067114094,28.433740854263306,0.588478989938844,20,0.5436241610738255,10.81297492980957,0.4442738043001317,20
1800,0.6342281879194631,32.81589722633362,0.5675697264194901,20,0.540268456375839,7.988500595092773,0.4421077084956067,20
2000,0.6510067114093959,32.43958401679993,0.5936008392341988,20,0.5201342281879194,8.056564331054688,0.3962226724663144,20
