# edges,partition,running time,accuracy,f1,# shards,setting
1000,blpa,70.91328382,0.568265683,0.491393266,20,BLPA
1000,bekm,75.48336983,0.383763838,0.331827977,20,BEKM
200,blpa,72.76074982,0.564575646,0.475281238,20,BLPA
200,bekm,68.56964803,0.359778598,0.314622284,19,BEKM
400,blpa,73.05012989,0.57195572,0.490734658,20,BLPA
400,bekm,72.52645993,0.36900369,0.32502921,20,BEKM
800,blpa,74.05201459,0.568265683,0.491225419,20,BLPA
800,bekm,71.35573673,0.374538745,0.333222172,20,BEKM
1000,blpa,72.87449193,0.560885609,0.482738942,20,BLPA
1000,bekm,70.53509855,0.381918819,0.342537191,20,BEKM
200,blpa,61.11466193,0.597785978,0.538588153,17,BLPA
200,bekm,72.32359338,0.359778598,0.302896927,20,BEKM
400,blpa,73.74077654,0.573800738,0.501962415,20,BLPA
400,bekm,71.97778583,0.380073801,0.340421358,20,BEKM
800,blpa,73.79008198,0.58302583,0.509342137,20,BLPA
800,bekm,72.33972025,0.367158672,0.318696575,20,BEKM
1000,blpa,73.32931209,0.553505535,0.478519429,20,BLPA
1000,bekm,72.17913723,0.367158672,0.315057797,20,BEKM
