,# Layer,Setting,Accuracy
167,4,NF-ours,0.6365313653136532
168,1,RI-original,0.8062730627306273
169,1,RI-retrain,0.7490774907749077
170,1,RI-ours,0.7140221402214022
171,1,NF-original,0.7712177121771218
172,1,NF-retrain,0.7361623616236163
173,1,NF-ours,0.7047970479704797
174,2,RI-original,0.8247232472324724
175,2,RI-retrain,0.7638376383763837
176,2,RI-ours,0.7804428044280443
177,2,NF-original,0.5959409594095941
178,2,NF-retrain,0.7306273062730627
179,2,NF-ours,0.5350553505535055
180,3,RI-original,0.6512915129151291
181,3,RI-retrain,0.6937269372693727
182,3,RI-ours,0.6014760147601476
183,3,NF-original,0.6346863468634686
184,3,NF-retrain,0.7749077490774908
185,3,NF-ours,0.5885608856088561
186,4,RI-original,0.35793357933579334
187,4,RI-retrain,0.533210332103321
188,4,RI-ours,0.3081180811808118
189,4,NF-original,0.7324723247232472
190,4,NF-retrain,0.7047970479704797
191,4,NF-ours,0.6217712177121771
192,1,RI-original,0.8044280442804428
193,1,RI-retrain,0.7398523985239852
194,1,RI-ours,0.7287822878228782
195,1,NF-original,0.8099630996309963
196,1,NF-retrain,0.7416974169741697
197,1,NF-ours,0.7250922509225092
198,2,RI-original,0.8136531365313653
199,2,RI-retrain,0.7214022140221402
200,2,RI-ours,0.7730627306273062
201,2,NF-original,0.7896678966789668
202,2,NF-retrain,0.7693726937269373
203,2,NF-ours,0.7564575645756457
204,3,RI-original,0.559040590405904
205,3,RI-retrain,0.5350553505535055
206,3,RI-ours,0.474169741697417
207,3,NF-original,0.6900369003690037
208,3,NF-retrain,0.7675276752767528
209,3,NF-ours,0.533210332103321
210,4,RI-original,0.6033210332103321
211,4,RI-retrain,0.37084870848708484
212,4,RI-ours,0.42435424354243545
213,4,NF-original,0.7047970479704797
214,4,NF-retrain,0.5645756457564576
215,4,NF-ours,0.496309963099631
216,1,RI-original,0.7693726937269373
217,1,RI-retrain,0.7306273062730627
218,1,RI-ours,0.6642066420664207
219,1,NF-original,0.7066420664206642
220,1,NF-retrain,0.7546125461254612
221,1,NF-ours,0.6291512915129152
222,2,RI-original,0.6789667896678967
223,2,RI-retrain,0.7011070110701108
224,2,RI-ours,0.6033210332103321
225,2,NF-original,0.7619926199261993
226,2,NF-retrain,0.7712177121771218
227,2,NF-ours,0.7250922509225092
228,3,RI-original,0.7453874538745388
229,3,RI-retrain,0.6955719557195572
230,3,RI-ours,0.6309963099630996
231,3,NF-original,0.7656826568265682
232,3,NF-retrain,0.7472324723247232
233,3,NF-ours,0.6881918819188192
234,4,RI-original,0.466789667896679
235,4,RI-retrain,0.4483394833948339
236,4,RI-ours,0.2656826568265683
237,4,NF-original,0.7066420664206642
238,4,NF-retrain,0.7158671586715867
239,4,NF-ours,0.6014760147601476
