,setting,running time
0,Retrain,6.230645418167114
1,ERAEDGE,1.9230656623840332
2,BLPA,46.89795994758606
3,BEKM,52.21552562713623
4,Retrain,6.896198272705078
5,ERAEDGE,1.145918369293213
6,BLPA,56.249788761138916
7,BEKM,53.82459092140198
8,Retrain,6.257363796234131
9,ERAEDGE,1.8496277332305908
10,BLPA,46.04463839530945
11,BEKM,52.51788091659546
12,Retrain,6.768273830413818
13,ERAEDGE,1.5773158073425293
14,BLPA,47.52920746803284
15,BEKM,63.17772603034973
16,Retrain,7.150223731994629
17,ERAEDGE,1.5203263759613037
18,BLPA,46.009758710861206
19,BEKM,57.252965688705444
20,Retrain,7.536169767379761
21,ERAEDGE,1.8417303562164307
22,BLPA,43.55365180969238
23,BEKM,55.687700033187866
24,Retrain,6.331075429916382
25,ERAEDGE,1.3190271854400635
26,BLPA,48.59089231491089
27,BEKM,56.732067823410034
28,Retrain,6.509883403778076
29,ERAEDGE,1.7017908096313477
30,BLPA,56.54202914237976
31,BEKM,61.09230303764343
32,Retrain,6.708877801895142
33,ERAEDGE,1.1552605628967285
34,BLPA,52.24604320526123
35,BEKM,59.44199228286743
36,Retrain,7.15637469291687
37,ERAEDGE,2.0497820377349854
38,BLPA,45.01744723320007
39,BEKM,61.22737169265747
40,Retrain,7.617619514465332
41,ERAEDGE,1.061941385269165
42,BLPA,48.68774104118347
43,BEKM,60.7727632522583
44,Retrain,7.2912938594818115
45,ERAEDGE,1.2552461624145508
46,BLPA,53.94538354873657
47,BEKM,55.173410415649414
48,Retrain,6.70860481262207
49,ERAEDGE,1.3685548305511475
50,BLPA,44.63609290122986
51,BEKM,59.25882840156555
52,Retrain,7.075201511383057
53,ERAEDGE,2.115466594696045
54,BLPA,54.26158928871155
55,BEKM,56.16837787628174
56,Retrain,7.268161058425903
57,ERAEDGE,1.3417253494262695
58,BLPA,49.83336353302002
59,BEKM,56.09545373916626
60,Retrain,7.042601823806763
61,ERAEDGE,1.9128186702728271
62,BLPA,47.63582181930542
63,BEKM,65.06937289237976
64,Retrain,7.2663702964782715
65,ERAEDGE,1.8572840690612793
66,BLPA,54.69509148597717
67,BEKM,60.0343074798584
68,Retrain,6.857330799102783
69,ERAEDGE,2.1085126399993896
70,BLPA,57.658533334732056
71,BEKM,47.46418833732605
72,Retrain,7.826426029205322
73,ERAEDGE,1.6978158950805664
74,BLPA,63.510666370391846
75,BEKM,44.35395336151123
76,Retrain,6.894744634628296
77,ERAEDGE,1.2005219459533691
78,BLPA,59.14431095123291
79,BEKM,52.12950277328491
80,Retrain,6.662848472595215
81,ERAEDGE,1.3039541244506836
82,BLPA,42.19322919845581
83,BEKM,50.87480926513672
84,Retrain,6.682845592498779
85,ERAEDGE,1.4459598064422607
86,BLPA,59.8434784412384
87,BEKM,59.86366677284241
88,Retrain,6.531331539154053
89,ERAEDGE,1.5318224430084229
90,BLPA,39.94360399246216
91,BEKM,66.37781429290771
92,Retrain,6.970684289932251
93,ERAEDGE,1.197054147720337
94,BLPA,49.92245697975159
95,BEKM,46.83293080329895
96,Retrain,6.8732123374938965
97,ERAEDGE,1.464491367340088
98,BLPA,57.53442406654358
99,BEKM,64.21897435188293
100,Retrain,6.830303907394409
101,ERAEDGE,0.9924149513244629
102,BLPA,45.66111898422241
103,BEKM,59.0264892578125
104,Retrain,7.194584608078003
105,ERAEDGE,1.3971283435821533
106,BLPA,55.73973989486694
107,BEKM,62.3108766078949
108,Retrain,5.958228588104248
109,ERAEDGE,1.560032606124878
110,BLPA,62.11664843559265
111,BEKM,45.77430319786072
112,Retrain,6.606559991836548
113,ERAEDGE,1.0968706607818604
114,BLPA,46.94097661972046
115,BEKM,61.78519129753113
116,Retrain,6.595233201980591
117,ERAEDGE,1.3576407432556152
118,BLPA,49.16820669174194
119,BEKM,56.454089403152466
120,Retrain,6.688308477401733
121,ERAEDGE,1.65816068649292
122,BLPA,53.175217151641846
123,BEKM,64.79672050476074
124,Retrain,6.60291600227356
125,ERAEDGE,1.2591564655303955
126,BLPA,50.694812297821045
127,BEKM,62.615559816360474
128,Retrain,6.8202064037323
129,ERAEDGE,1.5080616474151611
130,BLPA,52.288596391677856
131,BEKM,55.57820749282837
132,Retrain,6.537721633911133
133,ERAEDGE,1.525472640991211
134,BLPA,62.147308588027954
135,BEKM,65.74517583847046
136,Retrain,6.768603086471558
137,ERAEDGE,1.8601195812225342
138,BLPA,50.68764519691467
139,BEKM,61.39233446121216
140,Retrain,7.342715263366699
141,ERAEDGE,2.0701417922973633
142,BLPA,67.5471658706665
143,BEKM,71.05051279067993
144,Retrain,6.818305015563965
145,ERAEDGE,1.7219603061676025
146,BLPA,60.3928017616272
147,BEKM,63.28005003929138
148,Retrain,6.227880001068115
149,ERAEDGE,1.3208086490631104
150,BLPA,56.002487897872925
151,BEKM,57.48298978805542
152,Retrain,6.424237251281738
153,ERAEDGE,2.1814393997192383
154,BLPA,56.57451581954956
155,BEKM,63.916836977005005
156,Retrain,6.491487741470337
157,ERAEDGE,1.4809765815734863
158,BLPA,48.571250200271606
159,BEKM,70.6527144908905
160,Retrain,6.346224308013916
161,ERAEDGE,1.5690069198608398
162,BLPA,55.84149193763733
163,BEKM,75.16265654563904
164,Retrain,7.8879783153533936
165,ERAEDGE,1.6965665817260742
166,BLPA,59.833802223205566
167,BEKM,58.69855499267578
168,Retrain,6.596943378448486
169,ERAEDGE,2.569424867630005
170,BLPA,58.85365438461304
171,BEKM,57.8140983581543
172,Retrain,6.5205137729644775
173,ERAEDGE,1.198296070098877
