,# edges,jsd
0,100,0.16598309576511383
1,200,0.16080987453460693
2,300,0.15658441185951233
3,400,0.18070578575134277
4,500,0.16110551357269287
5,100,0.17529550194740295
6,200,0.16522255539894104
7,300,0.1594526469707489
8,400,0.14019834995269775
9,500,0.15705442428588867
10,100,0.1751212626695633
11,200,0.1501719206571579
12,300,0.14369793236255646
13,400,0.15886345505714417
14,500,0.15661048889160156
15,100,0.17533376812934875
16,200,0.15007799863815308
17,300,0.15503829717636108
18,400,0.16933239996433258
19,500,0.1533679962158203
20,100,0.1578080803155899
21,200,0.14897184073925018
22,300,0.15156474709510803
23,400,0.1564234346151352
24,500,0.14105844497680664
25,100,0.14539144933223724
26,200,0.14916734397411346
27,300,0.1532958596944809
28,400,0.15837502479553223
29,500,0.15240360796451569
30,100,0.1470060497522354
31,200,0.16456571221351624
32,300,0.15368881821632385
33,400,0.15900203585624695
34,500,0.159613698720932
35,100,0.16896609961986542
36,200,0.15202681720256805
37,300,0.14672818779945374
38,400,0.1492435336112976
39,500,0.1506001353263855
40,100,0.1634238213300705
41,200,0.16521979868412018
42,300,0.1500152051448822
43,400,0.15345048904418945
44,500,0.15137214958667755
45,100,0.1504942923784256
46,200,0.15966635942459106
47,300,0.15076236426830292
48,400,0.15989148616790771
49,500,0.16257061064243317
50,100,0.15118254721164703
51,200,0.15342050790786743
52,300,0.1513817012310028
53,400,0.16330453753471375
54,500,0.1655595600605011
55,100,0.16147823631763458
56,200,0.1618548333644867
57,300,0.15510733425617218
58,400,0.14384377002716064
59,500,0.16047219932079315
60,100,0.15537932515144348
61,200,0.16160370409488678
62,300,0.148652583360672
63,400,0.15958404541015625
64,500,0.15439990162849426
65,100,0.1541260927915573
66,200,0.15011896193027496
67,300,0.14505764842033386
68,400,0.16043317317962646
69,500,0.15278050303459167
70,100,0.161919504404068
71,200,0.1510913223028183
72,300,0.15535897016525269
73,400,0.14965006709098816
74,500,0.16816973686218262
75,100,0.16773080825805664
76,200,0.16254541277885437
77,300,0.15568266808986664
78,400,0.1651538610458374
79,500,0.15229110419750214
80,100,0.15017472207546234
81,200,0.1501656472682953
82,300,0.16558431088924408
83,400,0.1551501601934433
84,500,0.1580057591199875
85,100,0.1626019924879074
86,200,0.1378365308046341
87,300,0.14650093019008636
88,400,0.15881039202213287
89,500,0.14895261824131012
90,100,0.1625647246837616
91,200,0.14226466417312622
92,300,0.16176162660121918
93,400,0.1568794846534729
94,500,0.17621730268001556
95,100,0.15247251093387604
96,200,0.16648676991462708
97,300,0.15819495916366577
98,400,0.15905643999576569
99,500,0.1527853012084961
100,100,0.15347027778625488
101,200,0.15551446378231049
102,300,0.14424598217010498
103,400,0.14425547420978546
104,500,0.15593376755714417
105,100,0.17283587157726288
106,200,0.14690124988555908
107,300,0.16822411119937897
108,400,0.15590883791446686
109,500,0.1647464483976364
110,100,0.1627102643251419
111,200,0.1438658982515335
112,300,0.15325616300106049
113,400,0.16024713218212128
114,500,0.14642582833766937
115,100,0.1584543138742447
116,200,0.15359589457511902
117,300,0.1709957718849182
118,400,0.159010648727417
119,500,0.1551027148962021
120,100,0.15073269605636597
121,200,0.16301535069942474
122,300,0.15605895221233368
123,400,0.15209373831748962
124,500,0.16176258027553558
125,100,0.1499767303466797
126,200,0.15242725610733032
127,300,0.16085994243621826
128,400,0.13934864103794098
129,500,0.15510986745357513
130,100,0.15737350285053253
131,200,0.14182035624980927
132,300,0.15591350197792053
133,400,0.1538342833518982
134,500,0.17309068143367767
135,100,0.1445128470659256
136,200,0.15649133920669556
137,300,0.1513247936964035
138,400,0.1561141014099121
139,500,0.17250560224056244
140,100,0.16306106746196747
141,200,0.15989993512630463
142,300,0.14353661239147186
143,400,0.16555334627628326
144,500,0.14881126582622528
145,100,0.1564817875623703
146,200,0.14857879281044006
147,300,0.15430976450443268
148,400,0.14470091462135315
149,500,0.16386821866035461
150,100,0.16124391555786133
151,200,0.15931007266044617
152,300,0.15195228159427643
153,400,0.1531045138835907
154,500,0.15617313981056213
155,100,0.15627826750278473
156,200,0.15878893435001373
157,300,0.16300122439861298
158,400,0.159518301486969
159,500,0.16505685448646545
160,100,0.17747633159160614
161,200,0.15599140524864197
162,300,0.15727370977401733
163,400,0.15490691363811493
164,500,0.13993076980113983
165,100,0.15925820171833038
166,200,0.1647493839263916
167,300,0.15499073266983032
168,400,0.1451713591814041
169,500,0.14943833649158478
170,100,0.14678676426410675
171,200,0.13555629551410675
172,300,0.16451798379421234
173,400,0.162960484623909
174,500,0.15802361071109772
175,100,0.1731136292219162
176,200,0.1441085934638977
177,300,0.15174636244773865
178,400,0.14735011756420135
179,500,0.14988712966442108
180,100,0.15867559611797333
181,200,0.15284894406795502
182,300,0.15070296823978424
183,400,0.1415310949087143
184,500,0.16293950378894806
185,100,0.16010169684886932
186,200,0.1560238003730774
187,300,0.14656126499176025
188,400,0.14840205013751984
189,500,0.16131295263767242
190,100,0.16617490351200104
191,200,0.14287713170051575
192,300,0.16002371907234192
193,400,0.1524316370487213
194,500,0.1455513834953308
195,100,0.161635622382164
196,200,0.16001339256763458
197,300,0.14846523106098175
198,400,0.14744317531585693
199,500,0.16450448334217072
