,# edges,partition,running time,accuracy,f1,# shards
0,0,blpa,41.81759858131409,0.8258258258258259,0.7214138920868017,20
1,0,bekm,39.45996356010437,0.3963963963963964,0.33175321635044885,20
2,100,blpa,2.2365622520446777,0.7747747747747747,0.6900088135043694,3
3,100,bekm,9.313084840774536,0.33783783783783783,0.285898386543079,13
4,200,blpa,6.5451929569244385,0.5735735735735735,0.5292603016638235,9
5,200,bekm,12.912042379379272,0.24474474474474475,0.19361447668898998,18
6,400,blpa,8.928413391113281,0.48348348348348347,0.458701209644696,12
7,400,bekm,14.390433073043823,0.17267267267267267,0.09260335606094094,20
8,800,blpa,12.488438844680786,0.36786786786786785,0.29997273660534424,17
9,800,bekm,13.33438491821289,0.16966966966966968,0.0872451436639451,20
10,1000,blpa,12.820115804672241,0.32732732732732733,0.24151269648584037,18
11,1000,bekm,13.39982795715332,0.16966966966966968,0.0872451436639451,20
12,0,blpa,41.340325593948364,0.8828828828828829,0.7754611505045492,20
13,0,bekm,41.386786460876465,0.44744744744744747,0.3921150144709344,20
14,100,blpa,3.7621943950653076,0.7387387387387387,0.6692814644319629,5
15,100,bekm,9.994991064071655,0.34534534534534533,0.3270217397987735,14
16,200,blpa,5.883904218673706,0.6516516516516516,0.6113410489853618,8
17,200,bekm,12.278934240341187,0.24174174174174173,0.1966622549526401,18
18,400,blpa,10.717396020889282,0.43993993993993996,0.40622319177052796,15
19,400,bekm,14.177924394607544,0.16966966966966968,0.0872451436639451,20
20,800,blpa,12.20592975616455,0.3633633633633634,0.3001821389115903,17
21,800,bekm,14.308223247528076,0.16966966966966968,0.0872451436639451,20
22,1000,blpa,12.14518666267395,0.3108108108108108,0.22085684493090862,19
23,1000,bekm,13.951140403747559,0.16966966966966968,0.0872451436639451,20
24,0,blpa,43.62117004394531,0.8378378378378378,0.7296031161554901,20
25,0,bekm,41.64219069480896,0.44594594594594594,0.3804115410719265,20
26,100,blpa,2.8884596824645996,0.7192192192192193,0.6380022923928809,4
27,100,bekm,9.853936195373535,0.3258258258258258,0.3007084948806326,15
28,200,blpa,5.241144418716431,0.6246246246246246,0.5587966608563512,7
29,200,bekm,12.629226446151733,0.2147147147147147,0.1547763295543653,18
30,400,blpa,6.555114269256592,0.5720720720720721,0.5322540504671792,9
31,400,bekm,13.831329584121704,0.17267267267267267,0.09246115529329973,20
32,800,blpa,11.095029592514038,0.3708708708708709,0.3118620369670693,16
33,800,bekm,12.945890665054321,0.16966966966966968,0.0872451436639451,20
34,1000,blpa,12.106995344161987,0.34684684684684686,0.2775611915802579,17
35,1000,bekm,13.214788436889648,0.16966966966966968,0.0872451436639451,20
36,0,blpa,38.61111783981323,0.8978978978978979,0.7866580154941115,20
37,0,bekm,42.17323112487793,0.4594594594594595,0.42543793012948933,20
38,100,blpa,2.3115060329437256,0.7807807807807807,0.698390593858624,3
39,100,bekm,11.486168146133423,0.27627627627627627,0.23578113883010934,16
40,200,blpa,4.1726155281066895,0.6711711711711712,0.6100776323668533,6
41,200,bekm,12.563541889190674,0.1996996996996997,0.13312455274308052,19
42,400,blpa,10.21647334098816,0.4114114114114114,0.35892556719573837,14
43,400,bekm,13.860511064529419,0.16966966966966968,0.0872451436639451,20
