,# edges,jsd
0,100,0.023104313760995865
1,200,0.028052745386958122
2,300,0.02869492769241333
3,400,0.029306212440133095
4,500,0.02385942079126835
5,100,0.023878244683146477
6,200,0.025388240814208984
7,300,0.03340507671236992
8,400,0.03116786852478981
9,500,0.02578037977218628
10,100,0.042013656347990036
11,200,0.03201773017644882
12,300,0.0336039736866951
13,400,0.041926752775907516
14,500,0.0450143925845623
15,100,0.028299810364842415
16,200,0.023976372554898262
17,300,0.02592473290860653
18,400,0.03065454587340355
19,500,0.02541261725127697
20,100,0.02003328502178192
21,200,0.025174647569656372
22,300,0.02793547883629799
23,400,0.028630632907152176
24,500,0.023771757259964943
25,100,0.030840270221233368
26,200,0.025565391406416893
27,300,0.03171265497803688
28,400,0.02877170406281948
29,500,0.026061557233333588
30,100,0.03766666352748871
31,200,0.03311317786574364
32,300,0.02887529507279396
33,400,0.0347970612347126
34,500,0.037786662578582764
35,100,0.02305508963763714
36,200,0.022132037207484245
37,300,0.021283669397234917
38,400,0.023508761078119278
39,500,0.032404087483882904
40,100,0.018968822434544563
41,200,0.029316408559679985
42,300,0.029391268268227577
43,400,0.022822784259915352
44,500,0.02499208226799965
45,100,0.021802324801683426
46,200,0.024053705856204033
47,300,0.029126521199941635
48,400,0.03342195600271225
49,500,0.024734431877732277
50,100,0.03433289751410484
51,200,0.03300070762634277
52,300,0.04279334098100662
53,400,0.038237594068050385
54,500,0.04661981761455536
55,100,0.022066766396164894
56,200,0.020077386870980263
57,300,0.022070197388529778
58,400,0.024204540997743607
59,500,0.029791994020342827
60,100,0.02747347019612789
61,200,0.026257017627358437
62,300,0.03267580270767212
63,400,0.03052423521876335
64,500,0.027001086622476578
65,100,0.020142771303653717
66,200,0.025179091840982437
67,300,0.026192309334874153
68,400,0.03447578102350235
69,500,0.024348394945263863
70,100,0.02851112373173237
71,200,0.03774863854050636
72,300,0.031037934124469757
73,400,0.03803605958819389
74,500,0.04666614159941673
75,100,0.02687464840710163
76,200,0.021551523357629776
77,300,0.024911468848586082
78,400,0.02743244543671608
79,500,0.024699978530406952
80,100,0.021217459812760353
81,200,0.024333547800779343
82,300,0.027115851640701294
83,400,0.02281523495912552
84,500,0.023602742701768875
85,100,0.027334043756127357
86,200,0.020414579659700394
87,300,0.026355335488915443
88,400,0.02013743668794632
89,500,0.03422345966100693
90,100,0.03016151860356331
91,200,0.031820524483919144
92,300,0.04094342887401581
93,400,0.03791191056370735
94,500,0.04213054105639458
95,100,0.029223818331956863
96,200,0.023154301568865776
97,300,0.02566731721162796
98,400,0.027538690716028214
99,500,0.03285093978047371
100,100,0.026646848767995834
101,200,0.023070430383086205
102,300,0.031279306858778
103,400,0.025777487084269524
104,500,0.025196218863129616
105,100,0.03365687280893326
106,200,0.023096822202205658
107,300,0.03328123316168785
108,400,0.03581279516220093
109,500,0.020405802875757217
110,100,0.028118183836340904
111,200,0.03896484151482582
112,300,0.036636173725128174
113,400,0.040626004338264465
114,500,0.04379759728908539
115,100,0.034398797899484634
116,200,0.01968977600336075
117,300,0.021003972738981247
118,400,0.027581630274653435
119,500,0.02507752738893032
120,100,0.027191612869501114
121,200,0.027305547147989273
122,300,0.023507259786128998
123,400,0.019196053966879845
124,500,0.02616070583462715
125,100,0.02744361385703087
126,200,0.02457248792052269
127,300,0.028473440557718277
128,400,0.023653144016861916
129,500,0.029098235070705414
130,100,0.02756708674132824
131,200,0.027448076754808426
132,300,0.03515520691871643
133,400,0.04233710467815399
134,500,0.03928957134485245
135,100,0.026801809668540955
136,200,0.024167092517018318
137,300,0.026061033830046654
138,400,0.02620704285800457
139,500,0.023421024903655052
140,100,0.02317786030471325
141,200,0.027391836047172546
142,300,0.02556193619966507
143,400,0.02546669915318489
144,500,0.03076023980975151
145,100,0.022122954949736595
146,200,0.033178117126226425
147,300,0.026200678199529648
148,400,0.027661452069878578
149,500,0.03129487484693527
150,100,0.027488132938742638
151,200,0.03700263425707817
152,300,0.032876547425985336
153,400,0.040847551077604294
154,500,0.041228994727134705
155,100,0.030820190906524658
156,200,0.02478250488638878
157,300,0.027638964354991913
158,400,0.026270704343914986
159,500,0.029322592541575432
160,100,0.027209384366869926
161,200,0.020164255052804947
162,300,0.025824550539255142
163,400,0.02916242554783821
164,500,0.024020636454224586
165,100,0.03246282786130905
166,200,0.022036727517843246
167,300,0.02576638199388981
168,400,0.021011317148804665
169,500,0.02015308104455471
170,100,0.03392086550593376
171,200,0.03136764094233513
172,300,0.03518268093466759
173,400,0.03597123548388481
174,500,0.04122873395681381
175,100,0.038233909755945206
176,200,0.024931134656071663
177,300,0.03152882680296898
178,400,0.0194728821516037
179,500,0.023832008242607117
180,100,0.027266886085271835
181,200,0.028991006314754486
182,300,0.026922015473246574
183,400,0.02640704996883869
184,500,0.02575528435409069
185,100,0.02728681080043316
186,200,0.026015834882855415
187,300,0.02525024674832821
188,400,0.02500937506556511
189,500,0.02875637635588646
190,100,0.028117600828409195
191,200,0.03413679450750351
192,300,0.04070953279733658
193,400,0.03418736904859543
194,500,0.03605350852012634
195,100,0.03104596771299839
196,200,0.0241696760058403
197,300,0.031580645591020584
198,400,0.027233008295297623
199,500,0.030147112905979156
